"ID","SampleSet","Species","SpeciesNoHybrid","BinomialName","SpeciesNote","Location","TagNum","Date","Waypoint","Latitude","Longitude","Elevation","State","Notes","SeedYesNo","SeedNotes","AdditionalID","Sequenced","Project1","Project2","ProjectMag"
"J324","Jasmine","conica","conica","Eucalyptus conica","","Wollomi NP, Bylong Valley Way",12,"2015-10-12",NA,-32.44442,150.2812,"","NSW","","","","","Yes","Yes","No",NA
"J324","Jasmine","baueriana","baueriana","Eucalyptus baueriana","highlighted red; unknown reason","Jerrys Plains, Golden Hwy",NA,"2015-10-12",NA,-32.49536,150.90842,"","NSW","","","","","No","Yes","No",NA
"TLC715","Jasmine","conica","conica","Eucalyptus conica","","Storm King",NA,"",NA,-28.68758,151.96238,"","QLD","","","","","Yes","Yes","No",NA
"TLC715","TLC","conica","conica","Eucalyptus conica","","Stanthorpe",NA,"",NA,-28.68757004,151.962399,"851.994751","","","Yes","sifted  Storm King","","","","",NA
"TLC720","Jasmine","conica","conica","Eucalyptus conica","","Tenterfield ",NA,"",NA,-29.06569,151.98833,"","NSW","","","","","Yes","Yes","No",NA
"TLC720","TLC","conica","conica","Eucalyptus conica","","Tenterfield",NA,"",NA,-29.06569697,151.988323,"895.315063","","","Yes","sieved in box ","","","","",NA
"TLC725","Jasmine","conica","conica","Eucalyptus conica","","Dundee",NA,"",NA,-29.60563,151.86797,"","NSW","","","","","Yes","Yes","No",NA
"TLC725","TLC","conica","conica","Eucalyptus conica","","Dundee",NA,"",NA,-29.60565004,151.867978,"1038.672363","","","Yes","sieved in box ","","","","",NA
"TLC726","Jasmine","conica","conica","Eucalyptus conica","","Abington",NA,"",NA,-30.28358,151.19619,"","NSW","","","","","Yes","Yes","No",NA
"TLC726","TLC","conica","conica","Eucalyptus conica","","Abington Creek",NA,"",NA,-30.282428,151.195725,"","","","No","  ","","","","",NA
"TLC775","Jasmine","conica","conica","Eucalyptus conica","","Inglewood ",NA,"",NA,-28.39502,151.31197,"","QLD","","","","","No","Yes","No",NA
"TLC775","TLC","conica","conica","Eucalyptus conica","","Inglewood",NA,"",NA,-28.39504103,151.311965,"344","","","Yes","cleaned box within box ","","","","",NA
