"run","individual","sample","reads","bases","perc_gc","non_acgt","coverage","state.pop","location.pop","sp.short","species","ser.short","series","sub.ids","total.num.samples","tag.num","species.field","date","notes","latitude","longitude","datum","state","location","altitude","geology","soil","aspect","collector","abundance","buds","flowers","fruit","photos","associated.species"
"FDK10","FDK10","FDK10",7211498,740407938,38.7,3003109,1.156887403125,"VIC","Dookie","mic","microcarpa","bux","buxeales","MEL2375685A",1,NA,"Eucalyptus microcarpa","2013-10-31","Voucher with Rebecca Jordan",-36.33119,145.70688,"","VIC","Dookie (private property)",NA,"","","","W.A.Gebert","","","","","",";;;;;;;;"
"J294","J294","J294",12258836,1295290612,38.6,4986965,2.02389158125,"NSW","Keepit","alb","albens","bux","buxeales","",1,2,"Eucalyptus albens","2015-09-29","repeat of 293 (should have been collected as 293A)",-30.8942,150.66708,"WGS84","NSW","Keepit, Old Menedebri Rd",564,"Basalt","loam","N","J.Janes","Common","Present","","Present","","Themeda sp;Trifolium sp;Opuntia stricta;Dianella sp;Amyema miquelii;Asphodelus fistulosus;;;"
"J296","J296","J296",19630358,2301600587,39,6733395,3.5962509171875,"NSW","Namoi River","mel","melliodora","mellio","melliodorae","",1,3,"Eucalyptus melliodora","2015-09-29","",-30.65167,150.87812,"WGS84","NSW","Namoi River, Dunmore Rd",408,"Granite","sandy-loam","SW","J.Janes","Common","Present","Present","Present","J296","Angophora floribunda;grasses;;;;;;;"
"J298","J298","J298",27164500,3205189228,39.5,9221860,5.00810816875,"NSW","Bundarra","sider","sideroxylon","mellio","melliodorae","",1,NA,"Eucalyptus sideroxylon","2015-09-29","",-30.15277,151.07437,"WGS84","NSW","Bundarra, Thunderbolts Way",672,"Granite","Sand ","","J.Janes","Rare","Present","Present","","J298","Grasses;;;;;;;;"
"J301","J301","J301",16912758,1842154173,38.5,6636203,2.8783658953125,"NSW","Gum Flat","sider","sideroxylon","mellio","melliodorae","",1,NA,"Eucalyptus sideroxylon","2015-09-30","repeat of J300 (should have been collected as J300A)",-29.80812,150.91918,"WGS84","NSW","Gum Flat, Copeton Dam Rd",653,"Sandstone","Sand","SW","J.Janes","Common","","Present","Present","","Austrodanthonia sp;Aotus ericoides;Acacia hakeoides;Exocarpus cupressiformis;;;;;"
"J303","J303","J303",24739958,2975654226,39,7854715,4.649459728125,"NSW","Sawn Rocks","alb","albens","bux","buxeales","",1,NA,"Eucalyptus albens","2015-09-30","repeat of J302 (should have been collected as J302A)",-30.14391,150.05293,"WGS84","NSW","Sawn Rocks, Kilarney Gap Rd",482,"Basalt","Sand","SE","J.Janes","Common","Present","Present","","J303","Clematis microphylla;Acacia sp;Swainsonia sp;;;;;;"
"J307","J307","J307",15530214,1757010544,39,5615470,2.745328975,"NSW","Narrabri","creb","crebra","sider","siderophloiae","",1,NA,"Eucalyptus crebra ?","2015-09-30","",-30.22665,149.8094,"WGS84","NSW","Narrabri, Newell Hwy",240,"Basalt","Sand","","J.Janes","Rare","Present","","","","Roadside;;;;;;;;"
"J310","J310","J310",13697802,1559658295,39.4,5007405,2.4369660859375,"NSW","Narrabri","pop","populnea","bux","buxeales","",1,NA,"Eucalyptus populnea","2015-09-30","repeat of J308 (should have been collected as J308A)",-30.22025,149.83597,"WGS84","NSW","Narrabri, Killarney Forest",258,"Basalt","Sand","W","J.Janes","Common","Present","","","J310",";;;;;;;;"
"J311","J311","J311",23618912,2773203841,38.9,8131363,4.3331310015625,"NSW","Pilliga","fib","fibrosa","sider","siderophloiae","",1,5,"Eucalyptus fibrosa ?","2015-09-30","",-30.60224,149.58173,"WGS84","NSW","Pilliga, Newell Hwy",303,"Basalt","Sand","","J.Janes","Common","Present","","Present","J311","Zieria aspalathoides;Boronia sp;Acacia sp;Spyridium sp;;;;;"
"J315","J315","J315",14466480,1625833711,38.7,5359362,2.5403651734375,"NSW","Pilliga","fib","fibrosa","sider","siderophloiae","",1,NA,"Eucalyptus fibrosa","2015-09-30","repeat of J314 (should have been collected as J314A)",-30.92855,149.36347,"WGS84","NSW","Pilliga, no 1 break rd",433,"Basalt","Sand","","J.Janes","Common","Present","","","J315","Zieria aspalathoides;Boronia sp;Acacia sp;Spyridium sp;;;;;"
"J316","J316","J316",19360924,2273401359,39.4,6518143,3.5521896234375,"NSW","Pilliga","creb","crebra","sider","siderophloiae","",1,NA,"Eucalyptus crebra","2015-09-30","",-30.92855,149.36347,"WGS84","NSW","Pilliga, no 1 break rd",433,"Basalt","Sand","","J.Janes","rare","Present","","","J316","Zieria aspalathoides;Boronia sp;Acacia sp;Spyridium sp;;;;;"
"J317","J317","J317",17242572,1960007352,38.8,6254348,3.0625114875,"NSW","Sawn Rocks","creb","crebra","sider","siderophloiae","",1,NA,"Eucalyptus crebra","2015-09-30","",-30.14459,150.0534,"WGS84","NSW","Sawn Rocks, parking lot",485,"Basalt","Sand","W","J.Janes","Rare","","","Present","",";;;;;;;;"
"J318","J318","J318",26070912,3157844073,39.5,8326192,4.9341313640625,"NSW","Chaffey Dam","mel","melliodora","mellio","melliodorae","A-E",6,6,"Eucalyptus melliodora","2015-10-11","",-31.37365,151.13779,"WGS84","NSW","Chaffey Dam, Tamworth Nundle Rd",532,"","loam","W","J.Janes","Common","Present","Present","","J318","Eucalyptus camaldulensis;Geranium sp;Whalenbergia stricta;Acaena sp;Plantago sp;Asperula sp;;;"
"J319","J319","J319",19301364,2290832905,39.3,6354288,3.5794264140625,"NSW","Nundle","mel","melliodora","mellio","melliodorae","A-E",6,7,"Eucalyptus melliodora","2015-10-11","",-31.55948,151.05664,"WGS84","NSW","Nundle, Crawney Rd",751,"","sand","NNE","J.Janes","Common","Present","Present","Present","J319","Eucalyptus camaldulensis;grasses;;;;;;;"
"J320","J320","J320",19059688,2224937768,39.1,6461993,3.4764652625,"NSW","Timor","mol","moluccana","bux","buxeales","A-E",6,8,"Eucalyptus moluccana","2015-10-11","",-31.72257,151.10243,"WGS84","NSW","Timor, Crawney Rd",486,"Mudstone","clay-sand","W","J.Janes","Common","","","Present","J320","Roadside;;;;;;;;"
"J321g","J321g","J321g",16243922,1873532493,39.3,5820636,2.9273945203125,"NSW","Polkobin","creb","crebra","sider","siderophloiae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J322","J322","J322",22609634,2689660215,39.3,7504289,4.2025940859375,"NSW","Polkobin","fib","fibrosa","sider","siderophloiae","A-E",6,10,"Eucalyptus fibrosa","2015-10-12","",-32.75342,151.25269,"WGS84","NSW","Polkobin, Broke Rd",110,"Mudstone","clay ","","J.Janes","Common","","","","J322","Corymbia sp;Allocasuarina sp;Pultonaea sp;Busaria spinosa;Acacia sp;;;;"
"J324","J324","J324",22014864,2663910877,39.2,6970783,4.1623607453125,"NSW","Wollomi","con","conica","hetero","heterophloiae","A-E",6,12,"Eucalyptus conica","2015-10-12","",-32.44442,150.2812,"WGS84","NSW","Wollomi NP, Bylong Valley Way",213,"Granite","loam-sand","E","J.Janes","Common","","","","J324",";;;;;;;;"
"J326","J326","J326",20364800,2459099078,39.1,6570724,3.842342309375,"QLD","Rathdowney","mol","moluccana","bux","buxeales","A-D",5,13,"Eucalyptus moluccana","2015-11-03","Apparently missing from herbarium",-28.21744,152.84309,"WGS84","QLD","Rathdowney, Boonah Rathdowney Rd",103,"Mudstone","clay-loam","","J.Janes","Common","","Present","Present","J326","Acacia verniciflua;Roadside;;;;;;;"
"J327","J327","J327",19537484,2280398926,39.5,6670331,3.563123321875,"NSW","Koreelah","creb","crebra","sider","siderophloiae","A-D",5,14,"Eucalyptus crebra","2015-11-03","Apparently missing from herbarium",-28.45172,152.3925,"WGS84","NSW","Koreelah, Tooloom Rd",533,"Granite","loam","N","J.Janes","Common","Present","","Present","J327","Casuarina cunninghamiana;Dianella revoluta;Acacia burrowii;Eustraphus latifolius;;;;;"
"J328","J328","J328",17972582,2111818029,39.1,6145872,3.2997156703125,"NSW","Legume","mol","moluccana","bux","buxeales","A-D",5,15,"Eucalyptus moluccana","2015-11-03","",-28.43038,152.35915,"WGS84","NSW","Legume, Mt Lindsay Rd",480,"Granite","clay","SW","J.Janes","Common","","","Present","J328","Roadside;;;;;;;;"
"J329","J329","J329",25613096,3112926685,39.1,8137019,4.8639479453125,"NSW","Legume","con","conica","hetero","heterophloiae","A-C",4,16,"Eucalyptus conica","2015-11-03","",-28.41028,152.29292,"WGS84","NSW","Legume, Mt Lindsay Rd",564,"Granite","sand","S","J.Janes","Common","Present","","Present","J329","Ficus sp;Acacia burrowii;Clematis sp;smooth gum;;;;;"
"J330","J330","J330",18045116,2062274404,38.8,6515585,3.22230375625,"QLD","Karara","fib","fibrosa","sider","siderophloiae","A-D",5,17,"Eucalyptus fibrosa","2015-11-04","",-28.19138,151.61853,"WGS84","QLD","Karara, Cunningham Hwy",525,"Basalt","sand","N","J.Janes","Common","","","Present","J330","Acacia clivicola;Acacia hakeoides;Dodonea cuneata;Callitris columellaris;;;;;"
"J331","J331","J331",19593288,2334170156,39,6465710,3.64714086875,"QLD","Gore","creb","crebra","sider","siderophloiae","A-D",5,19,"Eucalyptus crebra","2015-11-04","",-28.29549,151.48801,"WGS84","QLD","Gore, Cunningham Hwy",510,"granite/sandstone","sand-clay","SW","J.Janes","Common","Present","","Present","J331","Acacia clivicola;Acacia hakeoides;Dodonea cuneata;Callitris columellaris;Eucalyptus sp;;;;"
"J333","J333","J333",21670560,2692578471,38.9,6548387,4.2071538609375,"QLD","Inglewood","cal","caleyi","rhodox","rhodoxylon","A-D",5,20,"Eucalyptus caleyi","2015-11-04","",-28.52431,151.10556,"WGS84","QLD","Inglewood, Inglewood Texas Rd",340,"granite/sandstone","sand-clay","NE","J.Janes","Common","","","Present","J333","Acacia leptocarpa;Acacia cultriformis;;;;;;;"
"J333-plus","J333","J333",25422682,3161269067,39.5,7543081,4.9394829171875,"QLD","Inglewood","cal","caleyi","rhodox","rhodoxylon","A-D",5,20,"Eucalyptus caleyi","2015-11-04","",-28.52431,151.10556,"WGS84","QLD","Inglewood, Inglewood Texas Rd",340,"granite/sandstone","sand-clay","NE","J.Janes","Common","","","Present","J333","Acacia leptocarpa;Acacia cultriformis;;;;;;;"
"J333a","J333a","J333a",24411280,2652953144,39.4,9959558,4.1452392875,"QLD","Inglewood","cal","caleyi","rhodox","rhodoxylon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J334","J334","J334",22709918,2695348494,39.2,7495294,4.211482021875,"QLD","Inglewood","mol","moluccana","bux","buxeales","A-D",5,21,"Eucalyptus moluccana (?)","2015-11-04","",-28.53696,151.10815,"WGS84","QLD","Inglewood, Inglewood Texas Rd",335,"granite/sandstone","sand-clay","E","J.Janes","Common","","","Present","J334","Acacia leptocarpa;Acacia cultriformis;;;;;;;"
"J335","J335","J335",27557704,3342158788,39,8778561,5.22212310625,"NSW","Texas","mic","microcarpa","bux","buxeales","A-D",5,22,"Eucalyptus microcarpa","2015-11-04","",-28.89198,151.14803,"WGS84","NSW","Texas, Texas Bridge Road",334,"Sandstone","clay-sand","","J.Janes","Common","Present","Present","Present","J335","Roadside;;;;;;;;"
"J338","J338","J338",24209142,2913889524,39.1,7919218,4.55295238125,"NSW","Tenterfield","con","conica","hetero","heterophloiae","A-D",5,23,"Eucalyptus conica","2015-11-05","",-29.15425,152.00211,"WGS84","NSW","Tenterfield, Bluff rock lookout",854,"Granite","loam-clay","SW","J.Janes","Common","Present","Present","Present","J338","Roadside;;;;;;;;"
"J339","J339","J339",18004344,2101528213,39.4,6123842,3.2836378328125,"NSW","Emmaville","mol","moluccana","bux","buxeales","A-C",4,24,"Eucalyptus moluccana","2015-11-05","",-29.45636,151.55505,"WGS84","NSW","Emmaville, Strathbogie Rd",873,"Granite","clay-loam","S","J.Janes","Common","","","Present","J339","Roadside;Eucalyptus melliodora;Acacia leptocarpa;;;;;;"
"J340","J340","J340",18389470,2155698810,39.3,6213768,3.368279390625,"NSW","Emmaville","mel","melliodora","mellio","melliodorae","A-D",5,25,"Eucalyptus melliodora","2015-11-05","",-29.45577,151.55405,"WGS84","NSW","Emmaville, Strathbogie Rd",874,"Granite","clay-loam","S","J.Janes","Common","Present","Present","Present","J340","Roadside;Eucalyptus moluccana;Acacia leptocarpa;;;;;;"
"J341","J341","J341",11340914,1232145936,39.2,4421409,1.925228025,"NSW","Yellow Dam","alb","albens","bux","buxeales","A-D",5,26,"Eucalyptus albens","2015-11-05","",-29.40223,151.41655,"WGS84","NSW","Yellow Dam, Emmaville Rd",770,"Granite","sand","W","J.Janes","Common","","","Present","J341","Clematis microphylla;Acacia leptocarpa;Themeda sp;;;;;;"
"J342","J342","J342",22811202,2713157884,39.2,7667050,4.23930919375,"NSW","Yellow Dam","sider","sideroxylon","mellio","melliodorae","A-D",5,27,"Eucalyptus sideroxylon","2015-11-05","",-29.39087,151.39279,"WGS84","NSW","Yellow Dam, Emmaville Rd",734,"Granite","sand","S","J.Janes","Common","Present","Present","Present","J342","Callitris columellaris;Acacia sp;;;;;;;"
"J343","J343","J343",22857570,2824091743,39.2,6933072,4.4126433484375,"NSW","Yellow Dam","creb","crebra","sider","siderophloiae","A-D",5,28,"Eucalyptus crebra","2015-11-05","",-29.35816,151.30991,"WGS84","NSW","Yellow Dam, Emmaville Rd",642,"Granite/mudstone","clay","N","J.Janes","Common","Present","","Present","J343","Callitris columellaris;Styphelia triflora;Melichrus urceolatus;Leucopogan muticus;;;;;"
"J344","J344","J344",13787754,1558662117,38.8,5124217,2.4354095578125,"ACT","Pierces Creek","poly","polyanthemos","hetero","heterophloiae","A-D",5,29,"Eucalyptus polyanthemos","2015-11-19","",-35.33962,148.91113,"WGS84","ACT","Pierces Creek State Forest, Vanitys Crossing",640,"Granite","hard red","N","J.Janes","Common","","","Present","J344","Dianella;Lepidosperma;Plantago;Acacia leptocarpa;;;;;"
"J345","J345","J345",23725222,2942646564,39,7086619,4.59788525625,"NSW","Mullion","alb","albens","bux","buxeales","A-D",5,30,"Eucalyptus albens","2015-11-20","",-35.07022,148.83685,"WGS84","NSW","Mullion, Mountain Creek Rd.",NA,"Sandstone/Limestone","Rocky shale","","J.Janes","Common","","","Present","J345","E. melliodora;Themeda;Briza maxima;Exocarpus;Stuphelia;Lepidosperma;Dianella;Bursania;"
"J345-plus","J345","J345",18869176,2214275927,39,6528923,3.4598061359375,"NSW","Mullion","alb","albens","bux","buxeales","A-D",5,30,"Eucalyptus albens","2015-11-20","",-35.07022,148.83685,"WGS84","NSW","Mullion, Mountain Creek Rd.",NA,"Sandstone/Limestone","Rocky shale","","J.Janes","Common","","","Present","J345","E. melliodora;Themeda;Briza maxima;Exocarpus;Stuphelia;Lepidosperma;Dianella;Bursania;"
"J346","J346","J346",27104174,3404024744,39,7903885,5.3187886625,"NSW","Mullion","mel","melliodora","mellio","melliodorae","A-D",5,31,"Eucalyptus melliodora","2015-11-20","",-35.06954,148.83661,"WGS84","NSW","Mullion, Mountain Creek Rd.",498,"Sandstone/Limestone","Rocky shale","NE","J.Janes","Common","Present","Present","Present","J346","E. albens;;;;;;;;"
"J347","J347","J347",22608650,2789587908,38.9,6888351,4.35873110625,"NSW","Wee Jasper","poly","polyanthemos","hetero","heterophloiae","A-D",5,32,"Eucalyptus polyanthemos","2015-11-20","",-35.09381,148.74881,"WGS84","NSW","Wee Jasper, Doctors Flat Rd.",740,"limestone/granite","sandy","","J.Janes","Common","Present","","Present","J347","Cassinia adunca;Acacia deanei;;;;;;;"
"J348","J348","J348",22394174,2650746035,38.7,7635956,4.1417906796875,"NSW","Wee Jasper","poly","polyanthemos","hetero","heterophloiae","A-D",5,33,"Eucalyptus polyanthemos","2015-11-20","",-35.24184,148.29729,"WGS84","NSW","Wee Jasper, Wee Jasper Rd.",448,"","","NE","J.Janes","Common","","","Present","J348","E. albens;Angophora;Briza maxima;Plantago;;;;;"
"J349","J349","J349",25172188,3039641371,38.8,8057996,4.7494396421875,"NSW","Wee Jasper","alb","albens","bux","buxeales","A-I",10,34,"Eucalyptus albens","2015-11-20","",-35.24369,148.2968,"WGS84","NSW","Wee Jasper, Wee Jasper Rd.",462,"","","NE","J.Janes","Common","","","Present","J349","E. polyanthemos;Briza;Plantago;Angophora;;;;;"
"J350","J350","J350",16450672,1884207135,39.2,5867952,2.9440736484375,"NSW","Tarcutta","alb","albens","bux","buxeales","A-I",10,35,"Eucalyptus albens","2015-11-20","",-35.2456,147.68083,"WGS84","NSW","Tarcutta, Mates Gully Rd.",276,"Basalt","sand","S","J.Janes","Common","","","Present","J350","Roadside;;;;;;;;"
"J351","J351","J351",21954180,2674822593,39.3,6966702,4.1794103015625,"NSW","Tarcutta","poly","polyanthemos","hetero","heterophloiae","A-D",5,36,"Eucalyptus polyanthemos (juv micro?)","2015-11-20","",-35.25609,147.68506,"WGS84","NSW","Tarcutta, Mates Gully Rd.",287,"Granite/Basalt","sand","S","J.Janes","Common","Present","Present","Present","J351","E. sideroxylon;E. albens;Helichrysum brateatum;Acacia sp.;;;;;"
"J351-plus","J351","J351",26789776,3319288190,39.2,8086679,5.186387796875,"NSW","Tarcutta","poly","polyanthemos","hetero","heterophloiae","A-D",5,36,"Eucalyptus polyanthemos (juv micro?)","2015-11-20","",-35.25609,147.68506,"WGS84","NSW","Tarcutta, Mates Gully Rd.",287,"Granite/Basalt","sand","S","J.Janes","Common","Present","Present","Present","J351","E. sideroxylon;E. albens;Helichrysum brateatum;Acacia sp.;;;;;"
"J352","J352","J352",24917018,2985356556,39,8257218,4.66461961875,"NSW","Tarcutta","sider","sideroxylon","mellio","melliodorae","A-I",10,37,"Eucalyptus sideroxylon","2015-11-20","",-35.25665,147.68486,"WGS84","NSW","Tarcutta, Mates Gully Rd.",NA,"Granite/Basalt","sand","S","J.Janes","Common","","","Present","J352","E. polyanthemos;;;;;;;;"
"J353","J353","J353",15167696,1698507512,39,5563756,2.6539179875,"NSW","Blue Metal","poly","polyanthemos","hetero","heterophloiae","A-D",5,38,"Eucalyptus polyanthemos","2015-11-20","",-35.8453,147.19722,"WGS84","NSW","Blue Metal Rest Area, M31",338,"Sandstone","sand-clay","SE","J.Janes","Common","Present","Present","Present","J353","E. moluccana;Roadside;;;;;;;"
"J354","J354","J354",26644232,3240277291,39.3,8516288,5.0629332671875,"NSW","Blue Metal","mol","moluccana","bux","buxeales","A-D",5,39,"Eucalyptus moluccana","2015-11-20","",-35.84469,147.19794,"WGS84","NSW","Blue Metal Rest Area, M31",NA,"","","","J.Janes","Common","Present","","Present","J354","E. polyanthemos;Roadside;;;;;;;"
