"ID","Species.orig","Latitude","Longitude","Location","Species"
"J293","Eucalyptus albens",-30.8942,150.66708,"Keepit, Old Menedebri Rd","Eucalyptus albens"
"J294","Eucalyptus albens",-30.8942,150.66708,"Keepit, Old Menedebri Rd","Eucalyptus albens"
"J295","Eucalyptus albens",-30.89198,150.6728,"Keepit, Somerton Main Rd","Eucalyptus albens"
"J296","Eucalyptus melliodora",-30.65167,150.87812,"Namoi River, Dunmore Rd","Eucalyptus melliodora"
"J297","Eucalyptus melliodora",-30.6519,150.87828,"Namoi River, Dunmore Rd","Eucalyptus melliodora"
"J298","Eucalyptus sideroxylon",-30.15277,151.07437,"Bundarra, Thunderbolts Way","Eucalyptus sideroxylon"
"J299","DISCARDED",NA,NA,NA,"DISCARDED"
"J300","Eucalyptus sideroxylon",-29.80812,150.91918,"Gum Flat, Copeton Dam Rd","Eucalyptus sideroxylon"
"J301","Eucalyptus sideroxylon",-29.80812,150.91918,"Gum Flat, Copeton Dam Rd","Eucalyptus sideroxylon"
"J302","Eucalyptus albens",-30.14391,150.05293,"Sawn Rocks, Kilarney Gap Rd","Eucalyptus albens"
"J303","Eucalyptus albens",-30.14391,150.05293,"Sawn Rocks, Kilarney Gap Rd","Eucalyptus albens"
"J304","Eucalyptus albens",-30.14391,150.05293,"Sawn Rocks, Kilarney Gap Rd","Eucalyptus albens"
"J305","Eucalyptus pilligaensis",-30.13395,149.48317,"Narrabri, Newell Hwy","Eucalyptus pilligaensis"
"J306","?",-30.13395,149.48317,"Narrabri, Newell Hwy",""
"J307","Eucalyptus crebra ?",-30.22665,149.8094,"Narrabri, Newell Hwy","Eucalyptus crebra"
"J308","Eucalyptus populnea",-30.22025,149.83597,"Narrabri, Killarney Forest","Eucalyptus populnea"
"J309","?",-30.22025,149.83597,"Narrabri, Killarney Forest",""
"J310","Eucalyptus populnea",-30.22025,149.83597,"Narrabri, Killarney Forest","Eucalyptus populnea"
"J311","Eucalyptus fibrosa ?",-30.60224,149.58173,"Pilliga, Newell Hwy","Eucalyptus fibrosa"
"J312","Eucalyptus sideroxylon",-30.60224,149.58173,"Pilliga, Newell Hwy","Eucalyptus sideroxylon"
"J313","Eucalyptus fibrosa",-30.60224,149.58173,"Pilliga, Newell Hwy","Eucalyptus fibrosa"
"J314","Eucalyptus fibrosa",-30.92855,149.36347,"Pilliga, no 1 break rd","Eucalyptus fibrosa"
"J315","Eucalyptus fibrosa",-30.92855,149.36347,"Pilliga, no 1 break rd","Eucalyptus fibrosa"
"J316","Eucalyptus crebra",-30.92855,149.36347,"Pilliga, no 1 break rd","Eucalyptus crebra"
"J317","Eucalyptus crebra",-30.14459,150.0534,"Sawn Rocks, parking lot","Eucalyptus crebra"
"J318","Eucalyptus melliodora",-31.37365,151.13779,"Chaffey Dam, Tamworth Nundle Rd","Eucalyptus melliodora"
"J319","Eucalyptus melliodora",-31.55948,151.05664,"Nundle, Crawney Rd","Eucalyptus melliodora"
"J320","Eucalyptus moluccana",-31.72257,151.10243,"Timor, Crawney Rd","Eucalyptus moluccana"
"J321","Eucalyptus crebra",-32.75326,151.25224,"Polkobin, Broke Rd","Eucalyptus crebra"
"J322","Eucalyptus fibrosa",-32.75342,151.25269,"Polkobin, Broke Rd","Eucalyptus fibrosa"
"J323","Eucalyptus largiflorens (?)",-32.40498,150.36256,"Wollomi NP, Bylong Valley Way","Eucalyptus largiflorens"
"J324","Eucalyptus conica",-32.44442,150.2812,"Wollomi NP, Bylong Valley Way","Eucalyptus conica"
"J325","Eucalyptus baueriana",-32.49536,150.90842,"Jerrys Plains, Golden Hwy","Eucalyptus baueriana"
"J326","Eucalyptus moluccana",-28.21744,152.84309,"Rathdowney, Boonah Rathdowney Rd","Eucalyptus moluccana"
"J327","Eucalyptus crebra",-28.45172,152.3925,"Koreelah, Tooloom Rd","Eucalyptus crebra"
"J328","Eucalyptus moluccana",-28.43038,152.35915,"Legume, Mt Lindsay Rd","Eucalyptus moluccana"
"J329","Eucalyptus conica",-28.41028,152.29292,"Legume, Mt Lindsay Rd","Eucalyptus conica"
"J330","Eucalyptus fibrosa",-28.19138,151.61853,"Karara, Cunningham Hwy","Eucalyptus fibrosa"
"J331","Eucalyptus crebra",-28.29549,151.48801,"Gore, Cunningham Hwy","Eucalyptus crebra"
"J332","Eucalyptus sp (microcarpa?)",-28.29549,151.48801,"Gore, Cunningham Hwy","Eucalyptus sp"
"J333","Eucalyptus caleyi",-28.52431,151.10556,"Inglewood, Inglewood Texas Rd","Eucalyptus caleyi"
"J334","Eucalyptus moluccana (?)",-28.53696,151.10815,"Inglewood, Inglewood Texas Rd","Eucalyptus moluccana"
"J335","Eucalyptus microcarpa",-28.89198,151.14803,"Texas, Texas Bridge Road","Eucalyptus microcarpa"
"J336","Eucalyptus conica",-29.10132,151.77156,"Mole Creek, Mole Station rd","Eucalyptus conica"
"J337","DISCARDED",NA,NA,NA,"DISCARDED"
"J338","Eucalyptus conica",-29.15425,152.00211,"Tenterfield, Bluff rock lookout","Eucalyptus conica"
"J339","Eucalyptus moluccana",-29.45636,151.55505,"Emmaville, Strathbogie Rd","Eucalyptus moluccana"
"J340","Eucalyptus melliodora",-29.45577,151.55405,"Emmaville, Strathbogie Rd","Eucalyptus melliodora"
"J341","Eucalyptus albens",-29.40223,151.41655,"Yellow Dam, Emmaville Rd","Eucalyptus albens"
"J342","Eucalyptus sideroxylon",-29.39087,151.39279,"Yellow Dam, Emmaville Rd","Eucalyptus sideroxylon"
"J343","Eucalyptus crebra",-29.35816,151.30991,"Yellow Dam, Emmaville Rd","Eucalyptus crebra"
"J344","Eucalyptus polyanthemos",-35.33962,148.91113,"Pierces Creek State Forest, Vanitys Crossing","Eucalyptus polyanthemos"
"J345","Eucalyptus albens",-35.07022,148.83685,"Mullion, Mountain Creek Rd.","Eucalyptus albens"
"J346","Eucalyptus melliodora",-35.06954,148.83661,"Mullion, Mountain Creek Rd.","Eucalyptus melliodora"
"J347","Eucalyptus polyanthemos",-35.09381,148.74881,"Wee Jasper, Doctors Flat Rd.","Eucalyptus polyanthemos"
"J348","Eucalyptus polyanthemos",-35.24184,148.29729,"Wee Jasper, Wee Jasper Rd.","Eucalyptus polyanthemos"
"J349","Eucalyptus albens",-35.24369,148.2968,"Wee Jasper, Wee Jasper Rd.","Eucalyptus albens"
"J350","Eucalyptus albens",-35.2456,147.68083,"Tarcutta, Mates Gully Rd.","Eucalyptus albens"
"J351","Eucalyptus polyanthemos (juv micro?)",-35.25609,147.68506,"Tarcutta, Mates Gully Rd.","Eucalyptus polyanthemos"
"J352","Eucalyptus sideroxylon",-35.25665,147.68486,"Tarcutta, Mates Gully Rd.","Eucalyptus sideroxylon"
"J353","Eucalyptus polyanthemos",-35.8453,147.19722,"Blue Metal Rest Area, M31","Eucalyptus polyanthemos"
"J354","Eucalyptus moluccana",-35.84469,147.19794,"Blue Metal Rest Area, M31","Eucalyptus moluccana"
"J355","Eucalyptus sideroxylon",-36.09264,146.61917,"Chiltern, Chiltern-Howlong Rd.","Eucalyptus sideroxylon"
