"ID","Species.orig","Latitude","Longitude","Location","Species","state","location","sp.short","species","ser.short","series"
"J294","Eucalyptus albens",-30.8942,150.66708,"Keepit, Old Menedebri Rd","Eucalyptus albens","NSW","Keepit","alb ","albens ","bux","buxeales"
"J303","Eucalyptus albens",-30.14391,150.05293,"Sawn Rocks, Kilarney Gap Rd","Eucalyptus albens","NSW","Sawn Rocks","alb ","albens ","bux","buxeales"
"J341","Eucalyptus albens",-29.40223,151.41655,"Yellow Dam, Emmaville Rd","Eucalyptus albens","NSW","Yellow Dam","alb ","albens ","bux","buxeales"
"J345","Eucalyptus albens",-35.07022,148.83685,"Mullion, Mountain Creek Rd.","Eucalyptus albens","NSW","Mullion","alb ","albens ","bux","buxeales"
"J349","Eucalyptus albens",-35.24369,148.2968,"Wee Jasper, Wee Jasper Rd.","Eucalyptus albens","NSW","Wee Jasper","alb ","albens ","bux","buxeales"
"J350","Eucalyptus albens",-35.2456,147.68083,"Tarcutta, Mates Gully Rd.","Eucalyptus albens","NSW","Tarcutta","alb ","albens ","bux","buxeales"
"J361","Eucalyptus albens",-33.42118,148.51154,"Nangar Natl Park, Dripping Rock Rd.","Eucalyptus albens","NSW","Nangar","alb ","albens ","bux","buxeales"
"J374","Eucalyptus albens",-37.36159,147.85228,"Ensay","Eucalyptus albens","VIC","Ensay","alb ","albens ","bux","buxeales"
"J376","Eucalyptus albens",-37.07782,148.34419,"McKillop Bridge","Eucalyptus albens","VIC","McKillop Bridge","alb ","albens ","bux","buxeales"
"J393","Eucalyptus albens",-36.93458,144.74492,"Heathcote","Eucalyptus albens","VIC","Heathcote","alb ","albens ","bux","buxeales"
"J413","Eucalyptus albens",-30.70737,150.09621,"Boggabri - private land","Eucalyptus albens","NSW","Boggabri","alb ","albens ","bux","buxeales"
"J414","Eucalyptus albens",-30.49283,149.94203,"Narrabri","Eucalyptus albens","NSW","Narrabri","alb ","albens ","bux","buxeales"
"J419","Eucalyptus albens",-31.35926,148.93951,"Warrumbungle","Eucalyptus albens","NSW","Warrumbungle","alb ","albens ","bux","buxeales"
"J424","Eucalyptus albens",-31.71111,150.6998,"Ardglen","Eucalyptus albens","NSW","Ardglen","alb ","albens ","bux","buxeales"
"RA1006","Eucalyptus albens",NA,NA,"Bundarra Rd","Eucalyptus albens","NSW","Bundarra","alb ","albens ","bux","buxeales"
