libname	sid	pair	lane	runname	path
J425a	S510	R1	L003	plate1-6.0	reads/plate1-6.0/J425a_S510_L003_R1.fastq.gz
J425a	S510	R1	L001	plate1-6.0	reads/plate1-6.0/J425a_S510_L001_R1.fastq.gz
J425a	S510	R2	L002	plate1-6.0	reads/plate1-6.0/J425a_S510_L002_R2.fastq.gz
J425a	S510	R2	L003	plate1-6.0	reads/plate1-6.0/J425a_S510_L003_R2.fastq.gz
J425a	S510	R2	L004	plate1-6.0	reads/plate1-6.0/J425a_S510_L004_R2.fastq.gz
J425a	S510	R1	L004	plate1-6.0	reads/plate1-6.0/J425a_S510_L004_R1.fastq.gz
J425a	S510	R2	L001	plate1-6.0	reads/plate1-6.0/J425a_S510_L001_R2.fastq.gz
J425a	S510	R1	L002	plate1-6.0	reads/plate1-6.0/J425a_S510_L002_R1.fastq.gz
J352i	S236	R2	L002	plate1-6.0	reads/plate1-6.0/J352i_S236_L002_R2.fastq.gz
J352i	S236	R1	L003	plate1-6.0	reads/plate1-6.0/J352i_S236_L003_R1.fastq.gz
J352i	S236	R1	L002	plate1-6.0	reads/plate1-6.0/J352i_S236_L002_R1.fastq.gz
J352i	S236	R2	L004	plate1-6.0	reads/plate1-6.0/J352i_S236_L004_R2.fastq.gz
J352i	S236	R1	L004	plate1-6.0	reads/plate1-6.0/J352i_S236_L004_R1.fastq.gz
J352i	S236	R2	L001	plate1-6.0	reads/plate1-6.0/J352i_S236_L001_R2.fastq.gz
J352i	S236	R2	L003	plate1-6.0	reads/plate1-6.0/J352i_S236_L003_R2.fastq.gz
J352i	S236	R1	L001	plate1-6.0	reads/plate1-6.0/J352i_S236_L001_R1.fastq.gz
J375	S6	R1	L003	plate1-6.0	reads/plate1-6.0/J375_S6_L003_R1.fastq.gz
J375	S6	R2	L003	plate1-6.0	reads/plate1-6.0/J375_S6_L003_R2.fastq.gz
J375	S6	R2	L004	plate1-6.0	reads/plate1-6.0/J375_S6_L004_R2.fastq.gz
J375	S6	R1	L002	plate1-6.0	reads/plate1-6.0/J375_S6_L002_R1.fastq.gz
J375	S6	R1	L004	plate1-6.0	reads/plate1-6.0/J375_S6_L004_R1.fastq.gz
J375	S6	R2	L001	plate1-6.0	reads/plate1-6.0/J375_S6_L001_R2.fastq.gz
J375	S6	R1	L001	plate1-6.0	reads/plate1-6.0/J375_S6_L001_R1.fastq.gz
J375	S6	R2	L002	plate1-6.0	reads/plate1-6.0/J375_S6_L002_R2.fastq.gz
J387e	S305	R2	L003	plate1-6.0	reads/plate1-6.0/J387e_S305_L003_R2.fastq.gz
J387e	S305	R2	L001	plate1-6.0	reads/plate1-6.0/J387e_S305_L001_R2.fastq.gz
J387e	S305	R1	L001	plate1-6.0	reads/plate1-6.0/J387e_S305_L001_R1.fastq.gz
J387e	S305	R1	L004	plate1-6.0	reads/plate1-6.0/J387e_S305_L004_R1.fastq.gz
J387e	S305	R1	L002	plate1-6.0	reads/plate1-6.0/J387e_S305_L002_R1.fastq.gz
J387e	S305	R2	L002	plate1-6.0	reads/plate1-6.0/J387e_S305_L002_R2.fastq.gz
J387e	S305	R1	L003	plate1-6.0	reads/plate1-6.0/J387e_S305_L003_R1.fastq.gz
J387e	S305	R2	L004	plate1-6.0	reads/plate1-6.0/J387e_S305_L004_R2.fastq.gz
J418a	S426	R1	L003	plate1-6.0	reads/plate1-6.0/J418a_S426_L003_R1.fastq.gz
J418a	S426	R1	L001	plate1-6.0	reads/plate1-6.0/J418a_S426_L001_R1.fastq.gz
J418a	S426	R1	L002	plate1-6.0	reads/plate1-6.0/J418a_S426_L002_R1.fastq.gz
J418a	S426	R1	L004	plate1-6.0	reads/plate1-6.0/J418a_S426_L004_R1.fastq.gz
J418a	S426	R2	L004	plate1-6.0	reads/plate1-6.0/J418a_S426_L004_R2.fastq.gz
J418a	S426	R2	L001	plate1-6.0	reads/plate1-6.0/J418a_S426_L001_R2.fastq.gz
J418a	S426	R2	L002	plate1-6.0	reads/plate1-6.0/J418a_S426_L002_R2.fastq.gz
J418a	S426	R2	L003	plate1-6.0	reads/plate1-6.0/J418a_S426_L003_R2.fastq.gz
J422c	S395	R1	L001	plate1-6.0	reads/plate1-6.0/J422c_S395_L001_R1.fastq.gz
J422c	S395	R1	L002	plate1-6.0	reads/plate1-6.0/J422c_S395_L002_R1.fastq.gz
J422c	S395	R1	L004	plate1-6.0	reads/plate1-6.0/J422c_S395_L004_R1.fastq.gz
J422c	S395	R2	L002	plate1-6.0	reads/plate1-6.0/J422c_S395_L002_R2.fastq.gz
J422c	S395	R2	L001	plate1-6.0	reads/plate1-6.0/J422c_S395_L001_R2.fastq.gz
J422c	S395	R2	L003	plate1-6.0	reads/plate1-6.0/J422c_S395_L003_R2.fastq.gz
J422c	S395	R1	L003	plate1-6.0	reads/plate1-6.0/J422c_S395_L003_R1.fastq.gz
J422c	S395	R2	L004	plate1-6.0	reads/plate1-6.0/J422c_S395_L004_R2.fastq.gz
J374a	S267	R1	L004	plate1-6.0	reads/plate1-6.0/J374a_S267_L004_R1.fastq.gz
J374a	S267	R2	L001	plate1-6.0	reads/plate1-6.0/J374a_S267_L001_R2.fastq.gz
J374a	S267	R1	L003	plate1-6.0	reads/plate1-6.0/J374a_S267_L003_R1.fastq.gz
J374a	S267	R2	L003	plate1-6.0	reads/plate1-6.0/J374a_S267_L003_R2.fastq.gz
J374a	S267	R1	L002	plate1-6.0	reads/plate1-6.0/J374a_S267_L002_R1.fastq.gz
J374a	S267	R2	L002	plate1-6.0	reads/plate1-6.0/J374a_S267_L002_R2.fastq.gz
J374a	S267	R2	L004	plate1-6.0	reads/plate1-6.0/J374a_S267_L004_R2.fastq.gz
J374a	S267	R1	L001	plate1-6.0	reads/plate1-6.0/J374a_S267_L001_R1.fastq.gz
J393a	S409	R1	L003	plate1-6.0	reads/plate1-6.0/J393a_S409_L003_R1.fastq.gz
J393a	S409	R2	L001	plate1-6.0	reads/plate1-6.0/J393a_S409_L001_R2.fastq.gz
J393a	S409	R2	L003	plate1-6.0	reads/plate1-6.0/J393a_S409_L003_R2.fastq.gz
J393a	S409	R1	L002	plate1-6.0	reads/plate1-6.0/J393a_S409_L002_R1.fastq.gz
J393a	S409	R2	L002	plate1-6.0	reads/plate1-6.0/J393a_S409_L002_R2.fastq.gz
J393a	S409	R1	L004	plate1-6.0	reads/plate1-6.0/J393a_S409_L004_R1.fastq.gz
J393a	S409	R1	L001	plate1-6.0	reads/plate1-6.0/J393a_S409_L001_R1.fastq.gz
J393a	S409	R2	L004	plate1-6.0	reads/plate1-6.0/J393a_S409_L004_R2.fastq.gz
