"","ID","SampleSet","Species","Location","Latitude","Longitude","SeedYesNo","SeedNotes","Sequenced"
"1","TLC726","Jasmine","conica","Abington",-30.28358,151.19619,"","","Yes"
"2","TLC726","TLC","conica","Abington Creek",-30.282428,151.195725,"No","  ",""
"3","TLC741","TLC","conica","Bingara",-30.01711397,150.620568,"Yes","sieved in box ",""
"4","TLC768","TLC","conica","Cherry Gully",-28.40674301,152.061887,"No","  ",""
"5","TLC769","TLC","conica","Cherry Gully",-28.40662197,152.061909,"No","  ",""
"6","TLC770","TLC","conica","Cherry Gully",-28.40673898,152.062075,"No","  ",""
"7","TLC772","TLC","conica","Cherry Gully",-28.40680302,152.061991,"No","  ",""
"8","TLC773","TLC","conica","Cherry Gully",-28.40664603,152.062144,"No","  ",""
"9","TLC725","Jasmine","conica","Dundee",-29.60563,151.86797,"","","Yes"
"10","TLC724","TLC","conica","Dundee",-29.60560603,151.868071,"No","  ",""
"11","TLC725","TLC","conica","Dundee",-29.60565004,151.867978,"Yes","sieved in box ",""
"12","J364","Jasmine","conica","Eugowra, Escort Way",-33.41328,148.22136,"","","No"
"13","ENE0009","ENE","conica","HRF1",-29.85126,152.00015,"No","no seeds in the capsule",""
"14","TLC780","TLC","conica","Inglewood",-28.390893,151.32088,"No","  ",""
"15","TLC775","TLC","conica","Inglewood",-28.39504103,151.311965,"Yes","cleaned box within box ",""
"16","TLC776","TLC","conica","Inglewood",-28.395165,151.310923,"Yes","sieved in box ",""
"17","TLC775","Jasmine","conica","Inglewood ",-28.39502,151.31197,"","","No"
"18","ENE0042","ENE","conica","Kempsey road gravel depot",-30.52496,152.07028,"No","",""
"19","ENE0043","ENE","conica","Kempsey road gravel depot",-30.52505,152.07025,"No","",""
"20","ENE0044","ENE","conica","Kempsey road gravel depot",-30.52445,152.07028,"No","",""
"21","ENE0045","ENE","conica","Kempsey road gravel depot",-30.52463,152.07047,"No","",""
"22","ENE0046","ENE","conica","Kempsey road gravel depot",-30.52469,152.07063,"No","",""
"23","ENE0047","ENE","conica","Kempsey road gravel depot",-30.52485,152.07079,"No","",""
"24","J329","Jasmine","conica","Legume, Mt Lindsay Rd",-28.41028,152.29292,"","","No"
"25","J329a","Jasmine","conica","Legume, Mt Lindsay Rd",-28.41028,152.29292,"","","No"
"26","J329b","Jasmine","conica","Legume, Mt Lindsay Rd",-28.41028,152.29292,"","","No"
"27","J329c","Jasmine","conica","Legume, Mt Lindsay Rd",-28.41028,152.29292,"","","Yes"
"28","J360","Jasmine","conica","Orange, Old Forbes Rd.",-34.01205,148.12904,"","","No"
"29","J360a","Jasmine","conica","Orange, Old Forbes Rd.",-34.01205,148.12904,"","","No"
"30","J360b","Jasmine","conica","Orange, Old Forbes Rd.",-34.01205,148.12904,"","","No"
"31","J360c","Jasmine","conica","Orange, Old Forbes Rd.",-34.01205,148.12904,"","","No"
"32","J360d","Jasmine","conica","Orange, Old Forbes Rd.",-34.01205,148.12904,"","","Yes"
"33","TLC715","TLC","conica","Stanthorpe",-28.68757004,151.962399,"Yes","sifted  Storm King",""
"34","TLC716","TLC","conica","Stanthorpe",-28.68787296,151.962637,"Yes","sieved in box Storm King",""
"35","TLC715","Jasmine","conica","Storm King",-28.68758,151.96238,"","","Yes"
"36","TLC721","TLC","conica","Tenterfield",-29.06571801,151.988288,"No","  ",""
"37","TLC804","TLC","conica","Tenterfield",-29.06747301,151.990051,"No","  ",""
"38","TLC719","TLC","conica","Tenterfield",-29.06428101,151.988461,"Yes","sieved in box ",""
"39","TLC720","TLC","conica","Tenterfield",-29.06569697,151.988323,"Yes","sieved in box ",""
"40","TLC805","TLC","conica","Tenterfield",-29.067457,151.989572,"Yes","sieved in box ",""
"41","TLC806","TLC","conica","Tenterfield",-29.06718803,151.990265,"Yes","sieved in box ",""
"42","TLC720","Jasmine","conica","Tenterfield ",-29.06569,151.98833,"","","Yes"
"43","J338","Jasmine","conica","Tenterfield, Bluff rock lookout",-29.15425,152.00211,"","","No"
"44","J338a","Jasmine","conica","Tenterfield, Bluff rock lookout",-29.15425,152.00211,"","","No"
"45","J338b","Jasmine","conica","Tenterfield, Bluff rock lookout",-29.15425,152.00211,"","","No"
"46","J338c","Jasmine","conica","Tenterfield, Bluff rock lookout",-29.15425,152.00211,"","","No"
"47","J338d","Jasmine","conica","Tenterfield, Bluff rock lookout",-29.15425,152.00211,"","","Yes"
"48","J324","Jasmine","conica","Wollomi NP, Bylong Valley Way",-32.44442,150.2812,"","","Yes"
"49","J324a","Jasmine","conica","Wollomi NP, Bylong Valley Way",-32.44442,150.2812,"","","No"
"50","J324b","Jasmine","conica","Wollomi NP, Bylong Valley Way",-32.44442,150.2812,"","","No"
"51","J324c","Jasmine","conica","Wollomi NP, Bylong Valley Way",-32.44442,150.2812,"","","No"
"52","J324d","Jasmine","conica","Wollomi NP, Bylong Valley Way",-32.44442,150.2812,"","","No"
"53","J324e","Jasmine","conica","Wollomi NP, Bylong Valley Way",-32.44442,150.2812,"","","Yes"
"54","ENE0036","ENE","conica","Wollomombi Falls Lookout",-30.53189,152.03299,"No","",""
"55","ENE0037","ENE","conica","Wollomombi Falls Lookout",-30.5314,152.0334,"No","",""
"56","ENE0038","ENE","conica","Wollomombi Falls Lookout",-30.53132,152.03278,"No","",""
"57","ENE0039","ENE","conica","Wollomombi Falls Lookout",-30.53132,152.03278,"No","",""
"58","ENE0040","ENE","conica","Wollomombi Falls Lookout",-30.53132,152.03148,"No","",""
"59","ENE0041","ENE","conica","Wollomombi Falls Lookout",-30.53079,152.02965,"No","no seeds in the capsule",""
"60","TLC750","TLC","magnificata","Enmore",-30.71997302,151.72217,"No","  ",""
"61","TLC751","TLC","magnificata","Enmore",-30.72016899,151.722562,"No","  ",""
"62","TLC752","TLC","magnificata","Enmore",-30.71996296,151.722618,"No","  ",""
"63","TLC753","TLC","magnificata","Enmore",-30.71953598,151.72227,"No","  ",""
"64","TLC754","TLC","magnificata","Enmore",-30.71911999,151.721523,"No","  ",""
"65","TLC755","TLC","magnificata","Enmore",-30.71747001,151.720253,"No","  ",""
"66","TLC756","TLC","magnificata","Enmore",-30.71836897,151.721228,"No","  ",""
"67","TLC757","TLC","magnificata","Enmore",-30.71907003,151.721817,"Yes","cleaned box within box empty envelope also found",""
"68","TLC758","TLC","magnificata","Enmore",-30.71955401,151.722795,"Yes","empty envelope  ",""
"69","TLC714","TLC","magnificata","Hillgrove",-30.55526401,151.905034,"No","  ",""
"70","TLC727","TLC","magnificata","Hillgrove",-30.55541304,151.906003,"No","  ",""
"71","TLC728","TLC","magnificata","Hillgrove",-30.555579,151.906014,"No","  ",""
"72","TLC730","TLC","magnificata","Hillgrove",-30.57562198,151.902781,"No","  ",""
"73","TLC731","TLC","magnificata","Hillgrove",-30.55252103,151.89752,"No","  ",""
"74","TLC733","TLC","magnificata","Hillgrove",-30.57504203,151.903307,"No","  ",""
"75","TLC766","TLC","magnificata","Hillgrove",-30.55624201,151.907689,"No","  ",""
"76","TLC767","TLC","magnificata","Hillgrove",-30.55602299,151.906232,"No","  ",""
"77","TLC808","TLC","magnificata","Hillgrove",-30.57438699,151.908147,"No","  ",""
"78","TLC809","TLC","magnificata","Hillgrove",-30.57550899,151.904931,"No","  ",""
"79","TLC810","TLC","magnificata","Hillgrove",-30.55183397,151.89709,"No","  ",""
"80","TLC811","TLC","magnificata","Hillgrove",-30.553048,151.898912,"No","  ",""
"81","TLC812","TLC","magnificata","Hillgrove",-30.55338596,151.898836,"No","  ",""
"82","TLC899","TLC","magnificata","Hillgrove",-30.554888,151.904249,"No","  ",""
"83","TLC900","TLC","magnificata","Hillgrove",-30.55498104,151.904568,"No","  ",""
"84","TLC901","TLC","magnificata","Hillgrove",-30.55510098,151.90465,"No","  ",""
"85","TLC902","TLC","magnificata","Hillgrove",-30.55544799,151.905152,"No","  ",""
"86","TLC903","TLC","magnificata","Hillgrove",-30.55311698,151.901967,"No","  ",""
"87","TLC904","TLC","magnificata","Hillgrove",-30.553134,151.900308,"No","  ",""
"88","TLC905","TLC","magnificata","Hillgrove",-30.54624802,151.898194,"No","  ",""
"89","TLC906","TLC","magnificata","Hillgrove",-30.54578701,151.897856,"No","  ",""
"90","TLC907","TLC","magnificata","Hillgrove",-30.54558501,151.89878,"No","  ",""
"91","TLC732","TLC","magnificata","Hillgrove",-30.575079,151.903794,"Yes","sieved in box ",""
"92","TLC734","TLC","magnificata","Hillgrove",-30.55260301,151.896692,"Yes","sieved in box ",""
"93","TLC807","TLC","magnificata","Hillgrove",-30.57603898,151.90429,"Yes","cleaned box within box ",""
"94","TLC813","TLC","magnificata","Long Point",-30.61521498,151.941556,"No","  ",""
"95","TLC814","TLC","magnificata","Long Point",-30.61504701,151.941554,"No","  ",""
"96","TLC815","TLC","magnificata","Long Point",-30.61480796,151.941578,"No","  ",""
"97","TLC816","TLC","magnificata","Long Point",-30.61466102,151.941561,"No","  ",""
"98","TLC817","TLC","magnificata","Long Point",-30.61459397,151.941559,"No","  ",""
"99","TLC818","TLC","magnificata","Long Point",-30.614643,151.94136,"No","  ",""
"100","TLC819","TLC","magnificata","Long Point",-30.61453597,151.941398,"No","  ",""
"101","TLC820","TLC","magnificata","Long Point",-30.61433103,151.941375,"No","  ",""
"102","TLC821","TLC","magnificata","Long Point",-30.61426599,151.941368,"No","  ",""
"103","TLC822","TLC","magnificata","Long Point",-30.61406801,151.941397,"No","  ",""
"104","TLC823","TLC","magnificata","Long Point",-30.61487904,151.941041,"No","  ",""
"105","TLC824","TLC","magnificata","Long Point",-30.61487602,151.940233,"No","  ",""
"106","TLC825","TLC","magnificata","Long Point",-30.61477996,151.940809,"No","  ",""
"107","TLC826","TLC","magnificata","Long Point",-30.61463303,151.941019,"No","  ",""
"108","TLC828","TLC","magnificata","Long Point",-30.61391001,151.941021,"No","  ",""
"109","TLC866","TLC","magnificata","Long Point",-30.61454896,151.941906,"No","  ",""
"110","TLC868","TLC","magnificata","Long Point",-30.61441502,151.942247,"No","  ",""
"111","TLC869","TLC","magnificata","Long Point",-30.61418502,151.942253,"No","  ",""
"112","TLC870","TLC","magnificata","Long Point",-30.61388402,151.942521,"No","  ",""
"113","TLC871","TLC","magnificata","Long Point",-30.61387698,151.942828,"No","  ",""
"114","TLC872","TLC","magnificata","Long Point",-30.61348303,151.942816,"No","  ",""
"115","TLC873","TLC","magnificata","Long Point",-30.61368898,151.942754,"No","  ",""
"116","TLC874","TLC","magnificata","Long Point",-30.61346501,151.942117,"No","  ",""
"117","TLC875","TLC","magnificata","Long Point",-30.61332,151.942271,"No","  ",""
"118","TLC876","TLC","magnificata","Long Point",-30.61312596,151.942215,"No","  ",""
"119","TLC877","TLC","magnificata","Long Point",-30.61318204,151.942496,"No","  ",""
"120","TLC878","TLC","magnificata","Long Point",-30.61316703,151.942752,"No","  ",""
"121","TLC879","TLC","magnificata","Long Point",-30.61361999,151.941874,"No","  ",""
"122","TLC880","TLC","magnificata","Long Point",-30.61321297,151.943026,"No","  ",""
"123","TLC881","TLC","magnificata","Long Point",-30.61311398,151.943455,"No","  ",""
"124","TLC882","TLC","magnificata","Long Point",-30.61302203,151.943931,"No","  ",""
"125","TLC883","TLC","magnificata","Long Point",-30.61249204,151.942647,"No","  ",""
"126","TLC884","TLC","magnificata","Long Point",-30.612427,151.942411,"No","  ",""
"127","TLC885","TLC","magnificata","Long Point",-30.61244904,151.941981,"No","  ",""
"128","TLC886","TLC","magnificata","Long Point",-30.61194998,151.941887,"No","  ",""
"129","TLC887","TLC","magnificata","Long Point",-30.611507,151.942091,"No","  ",""
"130","TLC888","TLC","magnificata","Long Point",-30.61135998,151.942235,"No","  ",""
"131","TLC889","TLC","magnificata","Long Point",-30.61101699,151.941664,"No","  ",""
"132","TLC890","TLC","magnificata","Long Point",-30.61030101,151.942406,"No","  ",""
"133","TLC891","TLC","magnificata","Long Point",-30.60978401,151.942063,"No","  ",""
"134","TLC892","TLC","magnificata","Long Point",-30.60956701,151.942258,"No","  ",""
"135","TLC893","TLC","magnificata","Long Point",-30.604489,151.947207,"No","  ",""
"136","TLC894","TLC","magnificata","Long Point",-30.60436503,151.947299,"No","  ",""
"137","TLC895","TLC","magnificata","Long Point",-30.60432496,151.947418,"No","  ",""
"138","TLC896","TLC","magnificata","Long Point",-30.60276199,151.950684,"No","  ",""
"139","TLC897","TLC","magnificata","Long Point",-30.60251699,151.951738,"No","  ",""
"140","TLC898","TLC","magnificata","Long Point",-30.60267398,151.951678,"No","  ",""
"141","TLC827","TLC","magnificata","Long Point",-30.61447897,151.940761,"Yes","sieved group envelope in box ",""
"142","TLC830","TLC","magnificata","Long Point",-30.61620296,151.938109,"Yes","sieved group envelope in box ",""
"143","TLC831","TLC","magnificata","Long Point",-30.61607497,151.938129,"Yes","sieved group envelope in box ",""
"144","TLC916","TLC","magnificata","McDirtys Lookout",-30.67624203,151.74434,"No","  ",""
"145","TLC917","TLC","magnificata","McDirtys Lookout",-30.67637798,151.744317,"No","  ",""
"146","TLC918","TLC","magnificata","McDirtys Lookout",-30.67576099,151.742332,"No","  ",""
"147","TLC762","TLC","magnificata","Metz Gorge",-30.57475998,151.884212,"No","  ",""
"148","TLC763","TLC","magnificata","Metz Gorge",-30.57457399,151.884747,"No","  ",""
"149","TLC764","TLC","magnificata","Metz Gorge",-30.57433502,151.885239,"No","  ",""
