Collection,Tree,,,,,,hddd.dddd,,ddd mm ss,,,,,,,,,,,,,,,,,,,,,,
ID,Sub-IDs,Total # samples,Tag #,Species,Date,Notes,Latitude,Longitude,Latitude,Longitude,Datum,State,Location,Altitude (m),Geology,Soil,Aspect,Collector,Abundance,Buds,Flowers,Fruit,Photos,Associated species,Associated species,Associated species,Associated species,Associated species,Associated species,Associated species,Associated species
J293,,1,001,Eucalyptus albens,2015-09-29,,-30.89420,150.66708,"-30°53'39.1200""","150°40'01.4880""",WGS84,NSW,"Keepit, Old Menedebri Rd",564,Basalt,loam,N,J.Janes,Common,Present,,Present,J293,Themeda sp,Trifolium sp,Opuntia stricta,Dianella sp,Amyema miquelii,Asphodelus fistulosus,,
J294,,1,002,Eucalyptus albens,2015-09-29,repeat of 293 (should have been collected as 293A),-30.89420,150.66708,"-30°53'39.1200""","150°40'01.4880""",WGS84,NSW,"Keepit, Old Menedebri Rd",564,Basalt,loam,N,J.Janes,Common,Present,,Present,,Themeda sp,Trifolium sp,Opuntia stricta,Dianella sp,Amyema miquelii,Asphodelus fistulosus,,
J295,,1,,Eucalyptus albens,2015-09-29,,-30.89198,150.67280,"-30°53'31.1280""","150°40'22.0800""",WGS84,NSW,"Keepit, Somerton Main Rd",442,Basalt,sandy-loam,NW,J.Janes,Common,Present,Present,,J295,Themeda sp,Trifolium sp,Opuntia stricta,Dianella sp,,,,
J296,,1,003,Eucalyptus melliodora,2015-09-29,,-30.65167,150.87812,"-30°39'06.0120""","150°52'41.2320""",WGS84,NSW,"Namoi River, Dunmore Rd",408,Granite,sandy-loam,SW,J.Janes,Common,Present,Present,Present,J296,Angophora floribunda,grasses,,,,,,
J297,,1,,Eucalyptus melliodora,2015-09-29,repeat of 297 (should have been collected as J296A),-30.65190,150.87828,"-30°39'06.8400""","150°52'41.8080""",WGS84,NSW,"Namoi River, Dunmore Rd",408,Granite,sandy-loam,SW,J.Janes,Common,Present,Present,,,Angophora floribunda,grasses,,,,,,
J298,,1,,Eucalyptus sideroxylon,2015-09-29,,-30.15277,151.07437,"-30°09'09.9720""","151°04'27.7320""",WGS84,NSW,"Bundarra, Thunderbolts Way",672,Granite,Sand ,,J.Janes,Rare,Present,Present,,J298,Grasses,,,,,,,
J299,,,,DISCARDED,,discarded,,,,,,,,,,,,,,,,,,,,,,,,,
J300,,1,,Eucalyptus sideroxylon,2015-09-30,,-29.80812,150.91918,"-29°48'29.2320""","150°55'09.0480""",WGS84,NSW,"Gum Flat, Copeton Dam Rd",653,Sandstone,Sand,SW,J.Janes,Common,,Present,Present,J300,Austrodanthonia sp,Aotus ericoides,Acacia hakeoides,Exocarpus cupressiformis,,,,
J301,,1,,Eucalyptus sideroxylon,2015-09-30,repeat of J300 (should have been collected as J300A),-29.80812,150.91918,"-29°48'29.2320""","150°55'09.0480""",WGS84,NSW,"Gum Flat, Copeton Dam Rd",653,Sandstone,Sand,SW,J.Janes,Common,,Present,Present,,Austrodanthonia sp,Aotus ericoides,Acacia hakeoides,Exocarpus cupressiformis,,,,
J302,,1,004,Eucalyptus albens,2015-09-30,,-30.14391,150.05293,"-30°08'38.0760""","150°03'10.5480""",WGS84,NSW,"Sawn Rocks, Kilarney Gap Rd",482,Basalt,Sand,SE,J.Janes,Common,Present,Present,,J302,Clematis microphylla,Acacia sp,Swainsonia sp,,,,,
J303,,1,,Eucalyptus albens,2015-09-30,repeat of J302 (should have been collected as J302A),-30.14391,150.05293,"-30°08'38.0760""","150°03'10.5480""",WGS84,NSW,"Sawn Rocks, Kilarney Gap Rd",482,Basalt,Sand,SE,J.Janes,Common,Present,Present,,J303,Clematis microphylla,Acacia sp,Swainsonia sp,,,,,
J304,,1,,Eucalyptus albens,2015-09-30,repeat of J302 (should have been collected as J302B),-30.14391,150.05293,"-30°08'38.0760""","150°03'10.5480""",WGS84,NSW,"Sawn Rocks, Kilarney Gap Rd",482,Basalt,Sand,SE,J.Janes,Common,Present,Present,,,Clematis microphylla,Acacia sp,Swainsonia sp,,,,,
J305,,1,,Eucalyptus pilligaensis,2015-09-30,,-30.13395,149.48317,"-30°08'02.2200""","149°28'59.4120""",WGS84,NSW,"Narrabri, Newell Hwy",240,Basalt,Sand,,J.Janes,Rare,Present,,,,Roadside,,,,,,,
J306,,1,,?,2015-09-30,unidentified - not sure that this is actually in the freezer,-30.13395,149.48317,"-30°08'02.2200""","149°28'59.4120""",WGS84,NSW,"Narrabri, Newell Hwy",240,Basalt,Sand,,J.Janes,Rare,Present,,,,Roadside,,,,,,,
J307,,1,,Eucalyptus crebra ?,2015-09-30,,-30.22665,149.80940,"-30°13'35.9400""","149°48'33.8400""",WGS84,NSW,"Narrabri, Newell Hwy",240,Basalt,Sand,,J.Janes,Rare,Present,,,,Roadside,,,,,,,
J308,,1,,Eucalyptus populnea,2015-09-30,,-30.22025,149.83597,"-30°13'12.9000""","149°50'09.4920""",WGS84,NSW,"Narrabri, Killarney Forest",258,Basalt,Sand,W,J.Janes,Common,Present,,,,,,,,,,,
J309,,1,,?,2015-09-30,unidentified - not sure that this is actually in the freezer,-30.22025,149.83597,"-30°13'12.9000""","149°50'09.4920""",WGS84,NSW,"Narrabri, Killarney Forest",258,Basalt,Sand,W,J.Janes,Common,Present,,,J309,,,,,,,,
J310,,1,,Eucalyptus populnea,2015-09-30,repeat of J308 (should have been collected as J308A),-30.22025,149.83597,"-30°13'12.9000""","149°50'09.4920""",WGS84,NSW,"Narrabri, Killarney Forest",258,Basalt,Sand,W,J.Janes,Common,Present,,,J310,,,,,,,,
J311,,1,005,Eucalyptus fibrosa ?,2015-09-30,,-30.60224,149.58173,"-30°36'08.0640""","149°34'54.2280""",WGS84,NSW,"Pilliga, Newell Hwy",303,Basalt,Sand,,J.Janes,Common,Present,,Present,J311,Zieria aspalathoides,Boronia sp,Acacia sp,Spyridium sp,,,,
