ID,Sub-IDs,Total # samples,Tag #,Species,Date,Notes,Latitude,Longitude,Datum,State,Location,Altitude,Geology,Soil,Aspect,Collector,Abundance,Buds,Flowers,Fruit,Photos
FDK01,MEL2375684A,1,,Eucalyptus microcarpa,31/10/2013,,-36.32987,145.70606,,VIC,Dookie (private property),,,,,W.A.Gebert,,,,,
FDK10,MEL2375685A,1,,Eucalyptus microcarpa,31/10/2013,,-36.33119,145.70688,,VIC,Dookie (private property),,,,,W.A.Gebert,,,,,
FDK20,MEL2375686A,1,,Eucalyptus microcarpa,31/10/2013,,-36.33002,145.70534,,VIC,Dookie (private property),,,,,W.A.Gebert,,,,,
FHH02,,1,,Eucalyptus microcarpa,4/12/2013,,-36.80271,144.00268,,VIC,Marong (private property),,,,,R.Jordan,,,,,
J293,,1,1,Eucalyptus albens,29/09/2015,,-30.8942,150.66708,WGS84,NSW,"Keepit, Old Menedebri Rd",564,Basalt,loam,N,J.Janes,Common,Present,,Present,J293
J294,,1,2,Eucalyptus albens,29/09/2015,,-30.8942,150.66708,WGS84,NSW,"Keepit, Old Menedebri Rd",564,Basalt,loam,N,J.Janes,Common,Present,,Present,
J295,,1,,Eucalyptus albens,29/09/2015,,-30.89198,150.6728,WGS84,NSW,"Keepit, Somerton Main Rd",442,Basalt,sandy-loam,NW,J.Janes,Common,Present,Present,,J295
J296,,1,3,Eucalyptus melliodora,29/09/2015,,-30.65167,150.87812,WGS84,NSW,"Namoi River, Dunmore Rd",408,Granite,sandy-loam,SW,J.Janes,Common,Present,Present,Present,J296
J297,,1,,Eucalyptus melliodora,29/09/2015,,-30.6519,150.87828,WGS84,NSW,"Namoi River, Dunmore Rd",408,Granite,sandy-loam,SW,J.Janes,Common,Present,Present,,
J298,,1,,Eucalyptus sideroxylon,29/09/2015,,-30.15277,151.07437,WGS84,NSW,"Bundarra, Thunderbolts Way",672,Granite,Sand ,,J.Janes,Rare,Present,Present,,J298
J298 - Recollect,,1,,Eucalyptus sideroxylon,28/11/2016,,-30.15277,151.07437,WGS84,NSW,"Bundarra, Thunderbolts Way",672,Granite,Sand ,,"J.Janes, T.Collins",Rare,Present,Present,,J298
J299,,,,DISCARDED,,,,,,,,,,,,,,,,,
J300,,1,,Eucalyptus sideroxylon,30/09/2015,,-29.80812,150.91918,WGS84,NSW,"Gum Flat, Copeton Dam Rd",653,Sandstone,Sand,SW,J.Janes,Common,,Present,Present,J300
J300 Area - Recollect,A-E,5,,Eucalyptus sideroxylon,28/11/2016,,-29.80812,150.91918,WGS84,NSW,"Gum Flat, Copeton Dam Rd",653,Sandstone,Sand,SW,"J.Janes, T.Collins",Common,,Present,Present,J300
J301,,1,,Eucalyptus sideroxylon,30/09/2015,,-29.80812,150.91918,WGS84,NSW,"Gum Flat, Copeton Dam Rd",653,Sandstone,Sand,SW,J.Janes,Common,,Present,Present,
J302,,1,4,Eucalyptus albens,30/09/2015,,-30.14391,150.05293,WGS84,NSW,"Sawn Rocks, Kilarney Gap Rd",482,Basalt,Sand,SE,J.Janes,Common,Present,Present,,J302
J303,,1,,Eucalyptus albens,30/09/2015,,-30.14391,150.05293,WGS84,NSW,"Sawn Rocks, Kilarney Gap Rd",482,Basalt,Sand,SE,J.Janes,Common,Present,Present,,J303
J304,,1,,Eucalyptus albens,30/09/2015,,-30.14391,150.05293,WGS84,NSW,"Sawn Rocks, Kilarney Gap Rd",482,Basalt,Sand,SE,J.Janes,Common,Present,Present,,
J305,,1,,Eucalyptus pilligaensis,30/09/2015,,-30.13395,149.48317,WGS84,NSW,"Narrabri, Newell Hwy",240,Basalt,Sand,,J.Janes,Rare,Present,,,
J306,,1,,?,30/09/2015,,-30.13395,149.48317,WGS84,NSW,"Narrabri, Newell Hwy",240,Basalt,Sand,,J.Janes,Rare,Present,,,
J307,,1,,Eucalyptus crebra ?,30/09/2015,,-30.22665,149.8094,WGS84,NSW,"Narrabri, Newell Hwy",240,Basalt,Sand,,J.Janes,Rare,Present,,,
J308,,1,,Eucalyptus populnea,30/09/2015,,-30.22025,149.83597,WGS84,NSW,"Narrabri, Killarney Forest",258,Basalt,Sand,W,J.Janes,Common,Present,,,
J309,,1,,?,30/09/2015,,-30.22025,149.83597,WGS84,NSW,"Narrabri, Killarney Forest",258,Basalt,Sand,W,J.Janes,Common,Present,,,J309
J310,,1,,Eucalyptus populnea,30/09/2015,,-30.22025,149.83597,WGS84,NSW,"Narrabri, Killarney Forest",258,Basalt,Sand,W,J.Janes,Common,Present,,,J310
J311,,1,5,Eucalyptus fibrosa ?,30/09/2015,,-30.60224,149.58173,WGS84,NSW,"Pilliga, Newell Hwy",303,Basalt,Sand,,J.Janes,Common,Present,,Present,J311
J312,,1,,Eucalyptus sideroxylon,30/09/2015,,-30.60224,149.58173,WGS84,NSW,"Pilliga, Newell Hwy",303,Basalt,Sand,,J.Janes,Common,Present,,Present,J312
J313,,1,,Eucalyptus fibrosa,30/09/2015,,-30.60224,149.58173,WGS84,NSW,"Pilliga, Newell Hwy",303,Basalt,Sand,,J.Janes,Common,Present,,Present,J313
J314,,1,,Eucalyptus fibrosa,30/09/2015,,-30.92855,149.36347,WGS84,NSW,"Pilliga, no 1 break rd",433,Basalt,Sand,,J.Janes,Common,Present,,,J314
J315,,1,,Eucalyptus fibrosa,30/09/2015,,-30.92855,149.36347,WGS84,NSW,"Pilliga, no 1 break rd",433,Basalt,Sand,,J.Janes,Common,Present,,,J315
J316,,1,,Eucalyptus crebra,30/09/2015,,-30.92855,149.36347,WGS84,NSW,"Pilliga, no 1 break rd",433,Basalt,Sand,,J.Janes,rare,Present,,,J316
J317,,1,,Eucalyptus crebra,30/09/2015,,-30.14459,150.0534,WGS84,NSW,"Sawn Rocks, parking lot",485,Basalt,Sand,W,J.Janes,Rare,,,Present,
J318,A-E,6,6,Eucalyptus melliodora,11/10/2015,,-31.37365,151.13779,WGS84,NSW,"Chaffey Dam, Tamworth Nundle Rd",532,,loam,W,J.Janes,Common,Present,Present,,J318
J319,A-E,6,7,Eucalyptus melliodora,11/10/2015,,-31.55948,151.05664,WGS84,NSW,"Nundle, Crawney Rd",751,,sand,NNE,J.Janes,Common,Present,Present,Present,J319
J320,A-E,6,8,Eucalyptus moluccana,11/10/2015,,-31.72257,151.10243,WGS84,NSW,"Timor, Crawney Rd",486,Mudstone,clay-sand,W,J.Janes,Common,,,Present,J320
J321,B-G,7,9,Eucalyptus crebra,12/10/2015,,-32.75326,151.25224,WGS84,NSW,"Polkobin, Broke Rd",109,Mudstone,clay ,,J.Janes,Common,,,,J321
