indiv,state,location,sp.short,species,ser.short,series,stampy,bwa
294,NSW,Keepit,alb ,albens ,bux,buxeales,yes,yes
303,NSW,Sawn Rocks,alb ,albens ,bux,buxeales,yes,yes
341,NSW,Yellow Dam,alb ,albens ,bux,buxeales,yes,yes
345,NSW,Mullion,alb ,albens ,bux,buxeales,yes,yes
349,NSW,Wee Jasper,alb ,albens ,bux,buxeales,yes,yes
350,NSW,Tarcutta,alb ,albens ,bux,buxeales,yes,yes
361,NSW,Nangar,alb ,albens ,bux,buxeales,yes,yes
374,VIC,Ensay,alb ,albens ,bux,buxeales,yes,yes
376,VIC,McKillop Bridge,alb ,albens ,bux,buxeales,yes,yes
393,VIC,Heathcote,alb ,albens ,bux,buxeales,yes,yes
413,NSW,Boggabri,alb ,albens ,bux,buxeales,yes,yes
414,NSW,Narrabri,alb ,albens ,bux,buxeales,yes,yes
419,NSW,Warrumbungle,alb ,albens ,bux,buxeales,yes,yes
424,NSW,Ardglen,alb ,albens ,bux,buxeales,yes,yes
RA1006,NSW,Bundarra,alb ,albens ,bux,buxeales,yes,yes
395,VIC,Woodstock on Loddon,albXmic,albensXmicrocarpa,bux,buxeales,yes,yes
335,NSW,Texas,mic,microcarpa,bux,buxeales,yes,yes
363,NSW,Eugowra,mic,microcarpa,bux,buxeales,yes,yes
FDK10,VIC,Dookie,mic,microcarpa,bux,buxeales,yes,yes
NAL05,NSW,Melrose,mic,microcarpa,bux,buxeales,yes,yes
NBJ30,NSW,Berry Jerry,mic,microcarpa,bux,buxeales,yes,yes
NCD30,NSW,Condobolin,mic,microcarpa,bux,buxeales,yes,yes
NCR13,NSW,Crowther,mic,microcarpa,bux,buxeales,yes,yes
NDU10,NSW,Dubbo,mic,microcarpa,bux,buxeales,yes,yes
VMA18,VIC,Mt Aprapiles,mic,microcarpa,bux,buxeales,yes,yes
VWG14,VIC,Werribee,mic,microcarpa,bux,buxeales,yes,yes
320,NSW,Timor,mol,moluccana,bux,buxeales,yes,yes
326,QLD,Rathdowney,mol,moluccana,bux,buxeales,yes,yes
328,NSW,Legume,mol,moluccana,bux,buxeales,yes,yes
334,QLD,Inglewood,mol,moluccana,bux,buxeales,yes,yes
339,NSW,Emmaville,mol,moluccana,bux,buxeales,yes,yes
354,NSW,Blue Metal,mol,moluccana,bux,buxeales,yes,yes
412,NSW,Moonbi,mol,moluccana,bux,buxeales,yes,yes
420,NSW,Warrumbungle,mol,moluccana,bux,buxeales,yes,yes
423,NSW,Coolah,mol,moluccana,bux,buxeales,yes,yes
NE-odo,SA,SA,odo,odorata,bux,buxeales,yes,yes
310,NSW,Narrabri,pop,populnea,bux,buxeales,yes,yes
NE-por,SA,SA,por,porosa,bux,buxeales,yes,yes
NE-wool,NSW,NSW,wool,woolsiana,bux,buxeales,yes,yes
324,NSW,Wollomi,con,conica,hetero,heterophloiae,yes,yes
329,NSW,Legume,con,conica,hetero,heterophloiae,yes,yes
338,NSW,Tenterfield,con,conica,hetero,heterophloiae,yes,yes
360,NSW,Orange,con,conica,hetero,heterophloiae,yes,yes
364,NSW,Eugowra,con,conica,hetero,heterophloiae,yes,yes
TLC715,QLD,Storm King,con,conica,hetero,heterophloiae,yes,yes
TLC720,NSW,Tenterfield ,con,conica,hetero,heterophloiae,yes,yes
TLC725,NSW,Dundee,con,conica,hetero,heterophloiae,yes,yes
