filename	reads	bases	perc_gc	non_acgt
data/reads/Blank.fastq.gz	1210	132660	39.3	474
data/reads/Blank1.fastq.gz	960	126376	30.8	177
data/reads/Blank2.fastq.gz	1212	158365	31.9	257
data/reads/FDK10.fastq.gz	7211498	740407938	38.7	3003109
data/reads/J294.fastq.gz	12258836	1295290612	38.6	4986965
data/reads/J310.fastq.gz	13697802	1559658295	39.4	5007405
data/reads/J315.fastq.gz	14466480	1625833711	38.7	5359362
data/reads/J307.fastq.gz	15530214	1757010544	39.0	5615470
data/reads/J301.fastq.gz	16912758	1842154173	38.5	6636203
data/reads/J321g.fastq.gz	16243922	1873532493	39.3	5820636
data/reads/J317.fastq.gz	17242572	1960007352	38.8	6254348
data/reads/J320.fastq.gz	19059688	2224937768	39.1	6461993
data/reads/J316.fastq.gz	19360924	2273401359	39.4	6518143
data/reads/J296.fastq.gz	19630358	2301600587	39.0	6733395
data/reads/J319.fastq.gz	19301364	2290832905	39.3	6354288
data/reads/J311.fastq.gz	23618912	2773203841	38.9	8131363
data/reads/J303.fastq.gz	24739958	2975654226	39.0	7854715
data/reads/J298.fastq.gz	27164500	3205189228	39.5	9221860
data/reads/J318.fastq.gz	26070912	3157844073	39.5	8326192
data/reads/J322.fastq.gz	22609634	2689660215	39.3	7504289
data/reads/J328.fastq.gz	17972582	2111818029	39.1	6145872
data/reads/J327.fastq.gz	19537484	2280398926	39.5	6670331
data/reads/J324.fastq.gz	22014864	2663910877	39.2	6970783
data/reads/J330.fastq.gz	18045116	2062274404	38.8	6515585
data/reads/J326.fastq.gz	20364800	2459099078	39.1	6570724
data/reads/J331.fastq.gz	19593288	2334170156	39.0	6465710
data/reads/J341.fastq.gz	11340914	1232145936	39.2	4421409
data/reads/J333a.fastq.gz	24411280	2652953144	39.4	9959558
data/reads/J329.fastq.gz	25613096	3112926685	39.1	8137019
data/reads/J334.fastq.gz	22709918	2695348494	39.2	7495294
data/reads/J333.fastq.gz	21670560	2692578471	38.9	6548387
data/reads/J339.fastq.gz	18004344	2101528213	39.4	6123842
data/reads/J340.fastq.gz	18389470	2155698810	39.3	6213768
data/reads/J333-plus.fastq.gz	25422682	3161269067	39.5	7543081
data/reads/J344.fastq.gz	13787754	1558662117	38.8	5124217
data/reads/J338.fastq.gz	24209142	2913889524	39.1	7919218
data/reads/J335.fastq.gz	27557704	3342158788	39.0	8778561
data/reads/J345-plus.fastq.gz	18869176	2214275927	39.0	6528923
data/reads/J342.fastq.gz	22811202	2713157884	39.2	7667050
data/reads/J343.fastq.gz	22857570	2824091743	39.2	6933072
data/reads/J350.fastq.gz	16450672	1884207135	39.2	5867952
data/reads/J345.fastq.gz	23725222	2942646564	39.0	7086619
data/reads/J353.fastq.gz	15167696	1698507512	39.0	5563756
data/reads/J347.fastq.gz	22608650	2789587908	38.9	6888351
data/reads/J348.fastq.gz	22394174	2650746035	38.7	7635956
data/reads/J355.fastq.gz	15572900	1793326710	39.1	5547590
data/reads/J346.fastq.gz	27104174	3404024744	39.0	7903885
data/reads/J351.fastq.gz	21954180	2674822593	39.3	6966702
data/reads/J349.fastq.gz	25172188	3039641371	38.8	8057996
data/reads/J352.fastq.gz	24917018	2985356556	39.0	8257218
data/reads/J355b.fastq.gz	19265094	2265047362	38.9	6593863
data/reads/J351-plus.fastq.gz	26789776	3319288190	39.2	8086679
data/reads/J358.fastq.gz	18091284	2126697123	38.9	6221062
data/reads/J354.fastq.gz	26644232	3240277291	39.3	8516288
data/reads/J359.fastq.gz	17431212	2002026207	39.2	6297648
data/reads/J357.fastq.gz	21841286	2617573241	38.9	7167921
data/reads/J362-young.fastq.gz	18577522	2211996363	39.2	6191967
data/reads/J360.fastq.gz	22609980	2732169825	38.5	7305177
data/reads/J361.fastq.gz	23772750	2848932347	38.6	7773221
data/reads/J368.fastq.gz	13710966	1533774543	39.1	5123787
data/reads/J367i.fastq.gz	15415704	1672835814	38.4	6106713
data/reads/J369.fastq.gz	13917226	1562277960	39.3	5194187
data/reads/J370.fastq.gz	14177642	1635185895	38.5	5142041
data/reads/J364.fastq.gz	24631402	2971073785	38.7	8085051
data/reads/J367.fastq.gz	20939340	2458351541	38.8	7233719
data/reads/J366-plus.fastq.gz	23992896	2942674025	39.5	7416699
data/reads/J363.fastq.gz	26486280	3282660593	39.5	7928033
data/reads/J363-plus.fastq.gz	28777828	3554512056	39.6	8582604
data/reads/J365.fastq.gz	26659074	3226500105	39.1	8579797
data/reads/J376.fastq.gz	9925972	1027584331	38.9	4058834
data/reads/J374.fastq.gz	13199886	1462478674	39.3	4969684
data/reads/J397.fastq.gz	39780	1815959	42.0	19630
data/reads/J366.fastq.gz	25077724	3084425463	38.9	7828713
data/reads/J375-rep1.fastq.gz	12909444	1339935549	38.6	5581002
data/reads/J371.fastq.gz	19407384	2300030261	38.9	6551913
data/reads/J372.fastq.gz	22727846	2670019433	39.0	7822938
data/reads/J379.fastq.gz	15834490	1786567128	39.2	5840503
data/reads/J395.fastq.gz	11383714	1204916326	38.8	4573300
data/reads/J393.fastq.gz	11514144	1263436829	38.8	4477155
data/reads/J381.fastq.gz	16865952	1947932123	38.8	5977983
data/reads/J387.fastq.gz	14105832	1530910419	38.8	5517272
data/reads/J375.fastq.gz	20465498	2440729034	38.9	6844817
data/reads/J389.fastq.gz	13689172	1537395363	39.0	5067098
data/reads/J383.fastq.gz	15719552	1826309466	38.9	5520242
data/reads/J373.fastq.gz	26224846	3204428967	39.2	8262036
data/reads/J398.fastq.gz	17285300	2001161743	39.7	6025076
data/reads/J385.fastq.gz	20832076	2428260962	39.2	7234216
data/reads/J400.fastq.gz	21536808	2212043230	39.4	9442038
data/reads/J402.fastq.gz	23454452	2443532691	38.8	10328942
data/reads/J399.fastq.gz	27329506	2939223530	39.6	11457727
data/reads/J392.fastq.gz	36483204	4099767968	40.1	14372958
data/reads/J408.fastq.gz	26258072	2664468792	39.6	11923422
data/reads/J413.fastq.gz	24352488	2498412698	39.7	10670244
data/reads/J401.fastq.gz	39158466	4352954862	40.7	15713396
data/reads/J411.fastq.gz	29329542	3213653563	40.3	11719180
data/reads/J404.fastq.gz	30093678	3277218404	40.0	12374777
data/reads/J406.fastq.gz	30141302	3354394355	39.9	11971518
data/reads/J403.fastq.gz	33466130	3611229468	40.3	13967772
data/reads/J412.fastq.gz	29488032	3163945088	39.4	12388998
data/reads/J414.fastq.gz	28136316	2909389385	40.2	12261417
data/reads/J419.fastq.gz	20051048	2038314633	39.1	8869417
data/reads/J407.fastq.gz	34322524	3772257081	40.3	14001445
data/reads/J405.fastq.gz	37023710	4081561985	41.6	14894125
data/reads/J416.fastq.gz	32738270	3501409784	40.2	14025150
data/reads/NAL05.fastq.gz	4851898	457610615	38.8	2187811
data/reads/NBJ30.fastq.gz	1572690	175924084	36.2	629978
data/reads/J417.fastq.gz	33086376	3685142645	40.4	13218419
data/reads/M2b.fastq.gz	13260968	1300703437	38.3	6109509
data/reads/NE10467.fastq.gz	200804	12901560	40.0	99791
data/reads/NE25923.fastq.gz	254984	18093647	41.4	126239
data/reads/NE25953.fastq.gz	16506	676913	43.5	8153
data/reads/NCD30.fastq.gz	5809342	573101877	38.8	2515265
data/reads/M2a.fastq.gz	14148356	1463640830	38.3	6231283
data/reads/NE35959.fastq.gz	354590	24549948	39.8	176110
data/reads/NE36811.fastq.gz	299816	23046804	42.0	144887
data/reads/NE37647.fastq.gz	11982	486615	43.2	5819
data/reads/NE37169.fastq.gz	393518	27599976	40.3	194999
data/reads/NE4583.fastq.gz	245660	14518558	39.8	122087
data/reads/NE67754.fastq.gz	475562	36350915	41.2	229786
data/reads/NDU10.fastq.gz	6473536	648939562	38.5	2744364
data/reads/NCR13.fastq.gz	9303894	1006740326	39.3	3632042
data/reads/NE90535.fastq.gz	4204536	363807300	39.2	2045393
data/reads/J418.fastq.gz	39772756	4269239485	40.6	16859180
data/reads/J420.fastq.gz	31777848	3416009404	40.0	13276092
data/reads/J427.fastq.gz	25625578	2789014313	40.0	10461501
data/reads/M1c.fastq.gz	22657332	2443554344	39.1	9306317
data/reads/NE35955.fastq.gz	13071834	1156693706	38.4	6385443
data/reads/J421.fastq.gz	34420670	3749910210	40.0	14271366
data/reads/J427a.fastq.gz	29859990	3251566065	39.8	12312654
data/reads/VMG14.fastq.gz	5033476	458358066	39.2	2388230
data/reads/J432.fastq.gz	29964318	3289330852	39.5	12337384
data/reads/VWG14.fastq.gz	3588774	313753695	38.9	1697607
data/reads/J431.fastq.gz	31136688	3475321951	40.1	12383882
data/reads/J424.fastq.gz	33541590	3690944223	40.5	13666442
data/reads/J422.fastq.gz	40583898	4496110131	41.5	16258140
data/reads/J423.fastq.gz	37330608	4141890298	40.9	14897067
data/reads/TLC715.fastq.gz	16883694	1938922388	39.0	6052351
data/reads/RA1006.fastq.gz	19068712	2219200305	39.0	6597515
data/reads/TLC720.fastq.gz	17206032	2026582765	38.8	5940225
data/reads/TLC775.fastq.gz	16256664	1885757219	38.7	5746618
data/reads/TLC726.fastq.gz	18951432	2211250131	39.7	6518103
data/reads/VMA18.fastq.gz	22993542	2279664462	39.1	10283012
data/reads/TLC725.fastq.gz	22910922	2740344698	39.0	7574966
