"species","sp.short","ser.short","series"
"albens","alb","bux","buxeales"
"albensXmicrocarpa","albXmic","bux","buxeales"
"baueriana","bau","hetero","heterophloiae"
"caleyi","cal","rhodox","rhodoxylon"
"conica","con","hetero","heterophloiae"
"crebra","creb","sider","siderophloiae"
"fibrosa","fib","sider","siderophloiae"
"largiflorens","larg","bux","buxeales"
"leucoxylon","leuc","mellio","melliodorae"
"melliodora","mel","mellio","melliodorae"
"microcarpa","mic","bux","buxeales"
"moluccana","mol","bux","buxeales"
"odorata","odo","bux","buxeales"
"pilligaensis","pill","bux","buxeales"
"polyanthemos","poly","hetero","heterophloiae"
"populnea","pop","bux","buxeales"
"porosa","por","bux","buxeales"
"sideroxylon","sider","mellio","melliodorae"
"sideroxylonXmelliodora","sidXmel","mellio","melliodorae"
"sideroxylonXmicrocarpa","sidXmic","mellio","melliodorae"
"sideroxylonXmoluccana","sidXmol","mellio","melliodorae"
"tricarpa","tri","mellio","melliodorae"
"woolsiana","wool","bux","buxeales"
