filename	reads	bases	perc_gc	non_acgt
reads/plate1-6.0/Blank_12_S77_L002_R2.fastq.gz	4	304	42.1	0
reads/plate1-6.0/Blank_12_S77_L001_R2.fastq.gz	5	380	42.1	0
reads/plate1-6.0/Blank_12_S77_L003_R1.fastq.gz	5	377	36.6	0
reads/plate1-6.0/Blank_12_S77_L004_R2.fastq.gz	1	76	35.5	0
reads/plate1-6.0/Blank_12_S77_L004_R1.fastq.gz	1	76	38.2	0
reads/plate1-6.0/Blank_12_S77_L001_R1.fastq.gz	5	378	38.1	0
reads/plate1-6.0/Blank_12_S77_L003_R2.fastq.gz	5	377	39.5	0
reads/plate1-6.0/Blank_12_S77_L002_R1.fastq.gz	4	303	43.9	0
reads/plate1-6.0/Blank_11_S1_L003_R1.fastq.gz	145	10903	37.8	0
reads/plate1-6.0/Blank_11_S1_L004_R2.fastq.gz	125	9333	36.6	0
reads/plate1-6.0/Blank_11_S1_L003_R2.fastq.gz	145	10857	37.7	2
reads/plate1-6.0/Blank_11_S1_L002_R1.fastq.gz	141	10632	38.3	0
reads/plate1-6.0/Blank_11_S1_L004_R1.fastq.gz	125	9387	37.3	0
reads/plate1-6.0/Blank_11_S1_L001_R1.fastq.gz	223	16792	38.2	0
reads/plate1-6.0/Blank_11_S1_L002_R2.fastq.gz	141	10556	37.2	1
reads/plate1-6.0/Blank_11_S1_L001_R2.fastq.gz	223	16779	37.8	0
reads/plate1-6.0/Blank_21_S97_L001_R1.fastq.gz	4	289	39.8	0
reads/plate1-6.0/Blank_21_S97_L004_R2.fastq.gz	3	228	39.5	0
reads/plate1-6.0/Blank_21_S97_L001_R2.fastq.gz	4	289	41.5	0
reads/plate1-6.0/Blank_21_S97_L003_R1.fastq.gz	2	151	39.7	0
reads/plate1-6.0/Blank_21_S97_L002_R2.fastq.gz	1	75	46.7	0
reads/plate1-6.0/Blank_21_S97_L002_R1.fastq.gz	1	76	50.0	0
reads/plate1-6.0/Blank_21_S97_L004_R1.fastq.gz	3	228	39.9	0
reads/plate1-6.0/Blank_21_S97_L003_R2.fastq.gz	2	152	36.2	0
reads/plate1-6.0/FDK10_S58_L002_R1.fastq.gz	10421	778461	39.9	24
reads/plate1-6.0/FDK10_S58_L002_R2.fastq.gz	10421	778508	39.8	28
reads/plate1-6.0/FDK10_S58_L001_R2.fastq.gz	9331	696699	39.8	11
reads/plate1-6.0/FDK10_S58_L003_R2.fastq.gz	10323	771429	39.9	32
reads/plate1-6.0/FDK10_S58_L004_R1.fastq.gz	10849	811916	39.8	15
reads/plate1-6.0/FDK10_S58_L001_R1.fastq.gz	9331	696640	39.9	11
reads/plate1-6.0/FDK10_S58_L003_R1.fastq.gz	10323	771366	39.8	21
reads/plate1-6.0/GH1_S504_L001_R1.fastq.gz	30382	2281751	39.7	161
reads/plate1-6.0/GH1_S504_L001_R2.fastq.gz	30382	2280261	39.6	248
reads/plate1-6.0/GH1_S504_L003_R2.fastq.gz	31654	2377452	39.8	129
reads/plate1-6.0/GH1_S504_L002_R2.fastq.gz	32915	2473844	39.6	217
reads/plate1-6.0/GH1_S504_L003_R1.fastq.gz	31654	2378013	39.8	96
reads/plate1-6.0/GH1_S504_L002_R1.fastq.gz	32915	2474232	39.7	190
reads/plate1-6.0/FDK10_S58_L004_R2.fastq.gz	10849	812330	39.8	15
reads/plate1-6.0/GH2_S512_L001_R1.fastq.gz	14983	1127614	38.6	56
reads/plate1-6.0/GH1_S504_L004_R2.fastq.gz	32226	2422637	39.5	132
reads/plate1-6.0/GH2_S512_L002_R1.fastq.gz	16427	1237978	38.6	11
reads/plate1-6.0/GH1_S504_L004_R1.fastq.gz	32226	2422744	39.8	117
reads/plate1-6.0/GH2_S512_L004_R1.fastq.gz	11259	848838	38.7	7
reads/plate1-6.0/GH2_S512_L001_R2.fastq.gz	14983	1126259	38.4	67
reads/plate1-6.0/GH2_S512_L003_R2.fastq.gz	12323	927611	38.4	10
reads/plate1-6.0/GH2_S512_L003_R1.fastq.gz	12323	928105	39.0	2
reads/plate1-6.0/GH2_S512_L002_R2.fastq.gz	16427	1237256	38.5	13
reads/plate1-6.0/GH2_S512_L004_R2.fastq.gz	11259	848379	38.0	7
reads/plate1-6.0/J293_S169_L003_R1.fastq.gz	35609	2677665	39.5	214
reads/plate1-6.0/J293_S169_L004_R1.fastq.gz	30727	2313030	39.3	102
reads/plate1-6.0/J293_S169_L001_R1.fastq.gz	36487	2742931	39.5	130
reads/plate1-6.0/J293_S169_L001_R2.fastq.gz	36487	2740322	39.2	152
reads/plate1-6.0/J293_S169_L004_R2.fastq.gz	30727	2312207	38.9	108
reads/plate1-6.0/J293_S169_L002_R2.fastq.gz	36217	2723934	39.0	157
reads/plate1-6.0/J293_S169_L003_R2.fastq.gz	35609	2676504	39.2	331
reads/plate1-6.0/J294_S2_L001_R1.fastq.gz	16209	1211006	39.9	65
reads/plate1-6.0/J294_S225_L001_R2.fastq.gz	37137	2789301	40.6	488
reads/plate1-6.0/J294_S225_L002_R1.fastq.gz	40914	3077394	40.5	73
reads/plate1-6.0/J294_S225_L004_R1.fastq.gz	42086	3167150	40.5	96
reads/plate1-6.0/J294_S225_L003_R1.fastq.gz	40110	3015275	40.7	250
reads/plate1-6.0/J294_S2_L002_R1.fastq.gz	17554	1311673	39.8	68
reads/plate1-6.0/J294_S225_L001_R1.fastq.gz	37137	2790949	40.7	387
reads/plate1-6.0/J294_S2_L003_R1.fastq.gz	17268	1291491	39.8	71
reads/plate1-6.0/J294_S225_L003_R2.fastq.gz	40110	3015158	40.5	300
reads/plate1-6.0/J294_S2_L001_R2.fastq.gz	16209	1210617	39.7	101
reads/plate1-6.0/J294_S2_L002_R2.fastq.gz	17554	1311279	39.8	63
reads/plate1-6.0/J294_S2_L004_R1.fastq.gz	18061	1351677	39.7	24
reads/plate1-6.0/J294_S225_L004_R2.fastq.gz	42086	3167416	40.4	146
reads/plate1-6.0/J294_S2_L004_R2.fastq.gz	18061	1351771	39.7	24
reads/plate1-6.0/J294_S2_L003_R2.fastq.gz	17268	1290942	39.7	93
reads/plate1-6.0/J295-rep_S161_L001_R1.fastq.gz	37810	2844213	39.0	118
reads/plate1-6.0/J295-rep_S161_L004_R1.fastq.gz	32111	2417580	38.9	98
reads/plate1-6.0/J295-rep_S161_L004_R2.fastq.gz	32111	2416251	38.6	108
reads/plate1-6.0/J295-rep_S161_L001_R2.fastq.gz	37810	2841020	38.7	188
reads/plate1-6.0/J295-rep_S161_L002_R1.fastq.gz	37210	2799932	38.9	112
reads/plate1-6.0/J295-rep_S161_L003_R1.fastq.gz	35846	2696182	39.0	74
reads/plate1-6.0/J295_S202_L001_R1.fastq.gz	51322	3855021	40.0	262
reads/plate1-6.0/J295-rep_S161_L002_R2.fastq.gz	37210	2798527	38.8	115
reads/plate1-6.0/J295-rep_S161_L003_R2.fastq.gz	35846	2695079	38.8	74
reads/plate1-6.0/J296_S50_L003_R2.fastq.gz	23641	1776753	39.7	28
reads/plate1-6.0/J296_S50_L001_R1.fastq.gz	21990	1650535	39.6	35
reads/plate1-6.0/J295_S202_L002_R2.fastq.gz	57565	4324827	39.9	357
reads/plate1-6.0/J295_S202_L001_R2.fastq.gz	51322	3853806	40.0	397
reads/plate1-6.0/J295_S202_L003_R1.fastq.gz	55267	4152556	40.0	311
reads/plate1-6.0/J296_S50_L002_R1.fastq.gz	24290	1825182	39.8	26
reads/plate1-6.0/J296_S50_L001_R2.fastq.gz	21990	1650679	39.6	34
reads/plate1-6.0/J295_S202_L003_R2.fastq.gz	55267	4152353	40.0	396
reads/plate1-6.0/J296_S50_L004_R1.fastq.gz	25355	1905113	39.6	50
reads/plate1-6.0/J296_S50_L003_R1.fastq.gz	23641	1776407	39.8	24
reads/plate1-6.0/J298_S185_L001_R1.fastq.gz	6294	475536	38.3	0
reads/plate1-6.0/J295_S202_L004_R2.fastq.gz	60740	4568613	39.9	207
reads/plate1-6.0/J298_S185_L004_R1.fastq.gz	4535	342613	39.9	0
reads/plate1-6.0/J298_S185_L001_R2.fastq.gz	6294	475113	37.5	0
reads/plate1-6.0/J298_S185_L002_R1.fastq.gz	8570	647737	38.2	0
reads/plate1-6.0/J295_S202_L004_R1.fastq.gz	60740	4568303	40.0	221
reads/plate1-6.0/J298_S185_L003_R2.fastq.gz	4596	346922	38.8	38
reads/plate1-6.0/J298_S185_L003_R1.fastq.gz	4596	347191	40.1	38
reads/plate1-6.0/J298_S185_L002_R2.fastq.gz	8570	647270	37.7	0
reads/plate1-6.0/J296_S50_L002_R2.fastq.gz	24290	1825240	39.7	30
reads/plate1-6.0/J298_S185_L004_R2.fastq.gz	4535	342409	38.5	0
reads/plate1-6.0/J296_S50_L004_R2.fastq.gz	25355	1905464	39.6	81
reads/plate1-6.0/J298_S26_L001_R1.fastq.gz	31729	2380777	40.1	42
reads/plate1-6.0/J298_S26_L001_R2.fastq.gz	31729	2380517	39.9	60
reads/plate1-6.0/J298_S26_L003_R1.fastq.gz	33924	2545992	40.1	48
reads/plate1-6.0/J298_S26_L002_R1.fastq.gz	34420	2583723	39.9	40
reads/plate1-6.0/J298_S26_L004_R1.fastq.gz	36164	2716424	40.0	31
reads/plate1-6.0/J298_S26_L003_R2.fastq.gz	33924	2546064	40.0	51
reads/plate1-6.0/J300_S234_L003_R1.fastq.gz	39081	2937263	40.8	194
reads/plate1-6.0/J293_S169_L002_R1.fastq.gz	36217	2725595	39.2	116
reads/plate1-6.0/J298_S26_L002_R2.fastq.gz	34420	2584122	39.9	37
reads/plate1-6.0/J300_S234_L001_R2.fastq.gz	36710	2760052	40.9	94
reads/plate1-6.0/J298_S26_L004_R2.fastq.gz	36164	2716900	39.9	28
reads/plate1-6.0/J300_S234_L002_R1.fastq.gz	40216	3023668	40.8	153
reads/plate1-6.0/J300_S234_L001_R1.fastq.gz	36710	2759485	40.9	119
reads/plate1-6.0/J300_S234_L002_R2.fastq.gz	40216	3024244	40.8	151
reads/plate1-6.0/J300_S234_L003_R2.fastq.gz	39081	2938089	40.8	236
reads/plate1-6.0/J301_S148_L002_R2.fastq.gz	43454	3271161	39.2	212
reads/plate1-6.0/J301_S3_L001_R1.fastq.gz	21578	1615012	39.4	41
reads/plate1-6.0/J300_S234_L004_R1.fastq.gz	42140	3169761	40.9	84
reads/plate1-6.0/J301_S148_L002_R1.fastq.gz	43454	3271132	39.3	156
reads/plate1-6.0/J301_S148_L004_R2.fastq.gz	44439	3345412	39.2	168
reads/plate1-6.0/J300_S234_L004_R2.fastq.gz	42140	3170752	40.8	113
reads/plate1-6.0/J301_S148_L001_R2.fastq.gz	39142	2944304	39.3	104
reads/plate1-6.0/J301_S3_L002_R1.fastq.gz	23388	1751085	39.4	51
reads/plate1-6.0/J301_S148_L004_R1.fastq.gz	44439	3345139	39.5	152
reads/plate1-6.0/J301_S148_L001_R1.fastq.gz	39142	2944115	39.4	101
reads/plate1-6.0/J301_S3_L001_R2.fastq.gz	21578	1614933	39.4	56
reads/plate1-6.0/J301_S148_L003_R1.fastq.gz	42190	3175160	39.5	110
reads/plate1-6.0/J301_S148_L003_R2.fastq.gz	42190	3174735	39.5	123
reads/plate1-6.0/J301_S3_L002_R2.fastq.gz	23388	1750933	39.4	47
reads/plate1-6.0/J301_S3_L003_R2.fastq.gz	23053	1726307	39.4	57
reads/plate1-6.0/J301_S3_L003_R1.fastq.gz	23053	1725717	39.4	70
reads/plate1-6.0/J301_S3_L004_R1.fastq.gz	24672	1848067	39.4	24
reads/plate1-6.0/J302_S219_L003_R2.fastq.gz	45658	3438258	40.0	367
reads/plate1-6.0/J301_S3_L004_R2.fastq.gz	24672	1848871	39.4	51
reads/plate1-6.0/J302_S219_L003_R1.fastq.gz	45658	3438295	39.9	319
reads/plate1-6.0/J302_S219_L001_R1.fastq.gz	42071	3166964	39.8	310
reads/plate1-6.0/J303_S204_L003_R1.fastq.gz	18935	1424776	39.2	101
reads/plate1-6.0/J303_S204_L002_R1.fastq.gz	22021	1659002	39.0	30
reads/plate1-6.0/J302_S219_L002_R1.fastq.gz	47070	3543893	39.8	224
reads/plate1-6.0/J302_S219_L001_R2.fastq.gz	42071	3165884	40.0	373
reads/plate1-6.0/J303_S204_L001_R1.fastq.gz	22075	1661648	39.2	73
reads/plate1-6.0/J302_S219_L004_R1.fastq.gz	48614	3662978	39.8	273
reads/plate1-6.0/J303_S204_L002_R2.fastq.gz	22021	1657779	38.7	53
