run,sample.repsmerged,sample
FDK10,FDK10,FDK10
J294,J294,J294
J296,J296,J296
J298,J298,J298
J301,J301,J301
J303,J303,J303
J307,J307,J307
J310,J310,J310
J311,J311,J311
J315,J315,J315
J316,J316,J316
J317,J317,J317
J318,J318,J318
J319,J319,J319
J320,J320,J320
J321g,J321g,J321g
J322,J322,J322
J324,J324,J324
J326,J326,J326
J327,J327,J327
J328,J328,J328
J329,J329,J329
J330,J330,J330
J331,J331,J331
J333,J333,J333
J333-plus,J333,J333
J333a,J333a,J333a
J334,J334,J334
J335,J335,J335
J338,J338,J338
J339,J339,J339
J340,J340,J340
J341,J341,J341
J342,J342,J342
J343,J343,J343
J344,J344,J344
J345,J345,J345
J345-plus,J345,J345
J346,J346,J346
J347,J347,J347
J348,J348,J348
J349,J349,J349
J350,J350,J350
J351,J351,J351
J351-plus,J351,J351
J352,J352,J352
J353,J353,J353
J354,J354,J354
J355,J355,J355
J355b,J355b,J355b
J357,J357,J357
J358,J358,J358
J359,J359,J359
J360,J360,J360
J361,J361,J361
J362-young,J362-young,J362-young
J363,J363,J363
J363-plus,J363,J363
J364,J364,J364
J365,J365,J365
J366,J366,J366
J366-plus,J366,J366
J367,J367,J367
J367i,J367i,J367i
J368,J368,J368
J369,J369,J369
J370,J370,J370
J371,J371,J371
J372,J372,J372
J373,J373,J373
J374,J374,J374
J375,J375,J375
J375-rep1,J375,J375
J376,J376,J376
J379,J379,J379
J381,J381,J381
J383,J383,J383
J385,J385,J385
J387,J387,J387
J389,J389,J389
J392,J392,J392
J393,J393,J393
J395,J395,J395
J397,J397,J397
J398,J398,J398
J399,J399,J399
J400,J400,J400
J401,J401,J401
J402,J402,J402
J403,J403,J403
J404,J404,J404
J405,J405,J405
J406,J406,J406
J407,J407,J407
J408,J408,J408
J411,J411,J411
J412,J412,J412
J413,J413,J413
J414,J414,J414
J416,J416,J416
J417,J417,J417
J418,J418,J418
J419,J419,J419
J420,J420,J420
J421,J421,J421
J422,J422,J422
J423,J423,J423
J424,J424,J424
J427,J427,J427
J427a,J427a,J427a
J431,J431,J431
J432,J432,J432
M1c,M1c,MelMosaicMerged
M2a,M2a,MelMosaicMerged
M2b,M2b,MelMosaicMerged
NAL05,NAL05,NAL05
NBJ30,NBJ30,NBJ30
NCD30,NCD30,NCD30
NCR13,NCR13,NCR13
NDU10,NDU10,NDU10
NE10467,NE10467,NE-por
NE25923,NE25923,NE-wool
NE25953,NE25953,NE-por
NE35955,NE35955,NE-por
NE35959,NE35959,NE-por
NE36811,NE36811,NE-odo
NE37169,NE37169,NE-odo
NE37647,NE37647,NE-wool
NE4583,NE4583,NE-wool
NE67754,NE67754,NE-odo
NE90535,NE90535,NE-wool
RA1006,RA1006,RA1006
TLC715,TLC715,TLC715
TLC720,TLC720,TLC720
TLC725,TLC725,TLC725
TLC726,TLC726,TLC726
TLC775,TLC775,TLC775
VMA18,VMA18,VMA18
VMG14,VWG14,VWG14
VWG14,VWG14,VWG14
