"ID","num_runs","SampleSet","Species","SpeciesNoHybrid","Series","SpeciesCode","Section","BinomialName","SpeciesNote","Location","LocationCode","TagNum","Date","Waypoint","Latitude","Longitude","Elevation","State","Notes","SeedYesNo","SeedNotes","AdditionalID","Project1","Project2","Oxley","Project1PlusOxley","reads","bases","gc_bases","non_acgt_bases"
"EB510",1,"Biffin","porosa","porosa","buxeales","por","Adnataria","Eucalyptus porosa",NA,"Torrens Gorge",NA,NA,NA,NA,-34.85926,138.73598,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"Y",56573911,7366043318,2943216549,28180
"EB515",1,"Biffin","odorata","odorata","buxeales","odo","Adnataria","Eucalyptus odorata",NA,"Callington",NA,NA,NA,NA,-35.0961,138.9629,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"Y",81284379,10651845869,4278655377,53039
"EB519",1,"Biffin","leucoxylon","leucoxylon","melliodorae","leu","Adnataria","Eucalyptus leucoxylon",NA,"Spring Gully CP",NA,NA,NA,NA,-33.912544,138.60479,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"Y",70686803,9245218105,3708755399,46615
"EB521",1,"Biffin","odorata","odorata","buxeales","odo","Adnataria","Eucalyptus odorata",NA,"Betaloo",NA,NA,NA,NA,-33.187045,138.2587,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"Y",67715093,8843634967,3551950933,45388
"EB522",1,"Biffin","leucoxylon","leucoxylon","melliodorae","leu","Adnataria","Eucalyptus leucoxylon","pruinosa","Betaloo",NA,NA,NA,NA,-33.20288,138.25193,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"Y",75939331,9964476949,4030316659,46530
"EB523",1,"Biffin","odorata","odorata","buxeales","odo","Adnataria","Eucalyptus odorata","'cajuptea' type","Pitchi Ritchi Pass",NA,NA,NA,NA,-32.44503,137.9782,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"Y",91598824,12139937309,4902419130,63881
"EB524",1,"Biffin","leucoxylon","leucoxylon","melliodorae","leu","Adnataria","Eucalyptus leucoxylon","pruinosa","Pitchi Ritchi Pass",NA,NA,NA,NA,-32.3824,137.98374,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"Y",90347445,11940458075,4815495260,61553
"EB525",1,"Biffin","porosa","porosa","buxeales","por","Adnataria","Eucalyptus porosa",NA,"Dutchmans Stern CP",NA,NA,NA,NA,-32.29882,137.9858,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"Y",89378401,11877629905,4764058021,59927
"EB526",1,"Biffin","albens","albens","buxeales","alb","Adnataria","Eucalyptus albens","potential hybrid with E. microcarpa","Melrose",NA,NA,NA,NA,-32.8229,138.1843,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"Y",51401155,6744472372,2692550629,25768
"EB527",1,"Biffin","microcarpa","microcarpa","buxeales","mic","Adnataria","Eucalyptus microcarpa",NA,"Melrose",NA,NA,NA,NA,-32.8229,138.1843,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"Y",74777437,9893635186,3957305629,48521
"EB528",1,"Biffin","leucoxylon","leucoxylon","melliodorae","leu","Adnataria","Eucalyptus leucoxylon","pruinosa","Mount Remarkable",NA,NA,NA,NA,-32.725607,138.081843,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"Y",61107002,8090020130,3226670689,41630
"EB529",1,"Biffin","microcarpa","microcarpa","buxeales","mic","Adnataria","Eucalyptus microcarpa",NA,"Mount Remarkable",NA,NA,NA,NA,-32.725607,138.081843,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"Y",79582914,10559365888,4245334051,53824
"EB530",1,"Biffin","albens","albens","buxeales","alb","Adnataria","Eucalyptus albens",NA,"Melrose",NA,NA,NA,NA,-32.85,138.18006,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"Y",51995156,6841493838,2758214731,29673
"EB531",1,"Biffin","porosa","porosa","buxeales","por","Adnataria","Eucalyptus porosa",NA,"Port Germaine Gorge",NA,NA,NA,NA,-32.987021,138.06658,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"Y",83279692,10838175326,4374360284,57968
"EB534",1,"Biffin","microcarpa","microcarpa","buxeales","mic","Adnataria","Eucalyptus microcarpa",NA,"Norton Summit",NA,NA,NA,NA,-35.90853,138.7042,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"Y",78910365,10389567423,4163870683,53959
"EB535",1,"Biffin","porosa","porosa","buxeales","por","Adnataria","Eucalyptus porosa",NA,"Rockleigh",NA,NA,NA,NA,-34.94037,139.0772,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"Y",71858825,9457725791,3792570541,48064
"EB536",1,"Biffin","leucoxylon","leucoxylon","melliodorae","leu","Adnataria","Euclayptus leucoxylon",NA,"Mount Torrens",NA,NA,NA,NA,-34.88304,138.9809,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"Y",62493212,8208295086,3284253699,35526
"ENE0001",1,"ENE","sp. aff. magnificata","sp. aff. magnificata","heterophloiae","oxl","Adnataria","Eucalyptus sp. aff. magnificata",NA,"HRF1","HRF",NA,"2017-11-22","082",-29.84968,152.00146,NA,"NSW","CBH 54,39*,34; ringbarked (CBH = circumference at breast height)","Yes","reasonable amount of seeds",NA,NA,NA,"Y","Y",73189633,9315965946,3810413571,51242
"ENE0005",1,"ENE","melliodora","melliodora","melliodorae","mel","Adnataria","Eucalyptus melliodora",NA,"HRF1","HRF",NA,"2017-11-22","086",-29.85121,152.00075,NA,"NSW","CBH 58","Yes","reasonable amount of seeds",NA,NA,NA,"Y","Y",82247066,10755830663,4313878535,56508
"ENE0008",1,"ENE","sp. aff. magnificata","sp. aff. magnificata","heterophloiae","oxl","Adnataria","Eucalyptus sp. aff. magnificata","a.k.a sp HRF","HRF1","HRF",NA,"2017-11-22","089",-29.85109,152.0009,NA,"NSW","CBH 21","Yes","reasonable amount of seeds",NA,NA,NA,"Y","Y",89789235,11788878098,4793900982,54334
"ENE0009",1,"ENE","conica","conica","heterophloiae","con","Adnataria","Eucalyptus conica","Conica ?","HRF1","HRF",NA,"2017-11-22","090",-29.85126,152.00015,NA,"NSW","CBH 50,29*;","No","no seeds in the capsule",NA,NA,NA,"Y","Y",87271601,11228384946,4487439211,60732
"ENE0010",1,"ENE","sp. aff. magnificata","sp. aff. magnificata","heterophloiae","oxl","Adnataria","Eucalyptus sp. aff. magnificata",NA,"HRF1","HRF",NA,"2017-11-22","091",-29.85105,151.99956,NA,"NSW","CBH 20","Yes","large quantity of seeds",NA,NA,NA,"Y","Y",98090213,12865659961,5207841130,68199
"ENE0011",1,"ENE","sp. aff. magnificata","sp. aff. magnificata","heterophloiae","oxl","Adnataria","Eucalyptus sp. aff. magnificata","? HRF","HRF1","HRF",NA,"2017-11-22","092",-29.85126,151.99948,NA,"NSW","CBH 67","Yes","reasonable amount of seeds",NA,NA,NA,"Y","Y",94699233,12426513952,5001516962,64910
"ENE0014",1,"ENE","melliodora","melliodora","melliodorae","mel","Adnataria","Eucalyptus melliodora",NA,"HRF1","HRF",NA,"2017-11-22","095",-29.84946,152.00108,NA,"NSW","CBH 114*,83,57","Yes","large quantity of seeds",NA,NA,NA,"Y","Y",92614752,12123201922,4843867363,62292
"ENE0015",1,"ENE","melliodora","melliodora","melliodorae","mel","Adnataria","Eucalyptus melliodora",NA,"HRF1","HRF",NA,"2017-11-22","096",-29.84945,152.00114,NA,"NSW","CBH 87,42*; ringbarked on second trunk","Yes","very low amount of seeds",NA,NA,NA,"Y","Y",86432583,11347906728,4562229208,55654
"ENE0023",1,"ENE","sp. aff. magnificata","sp. aff. magnificata","heterophloiae","oxl","Adnataria","Eucalyptus sp. aff. magnificata",NA,"HRF1","HRF",NA,"2017-11-22","104",-29.84896,152.0058,NA,"NSW","CBH 92,52*; ringbarked","Yes","reasonable amount of seeds",NA,NA,NA,"Y","Y",55405225,7036688116,2842207611,19436
"ENE0024",1,"ENE","melliodora","melliodora","melliodorae","mel","Adnataria","Eucalyptus melliodora",NA,"Waterfall Way 2","WWY",NA,"2017-11-24","105",-30.5176,151.97227,NA,"NSW","CBH 94; Turnout for post marked 966 87-84 on north side of waterfall way. E mel and other boxes with misc stringybarks.","No","immature capsule to collect seeds",NA,NA,NA,"Y","Y",93211553,12218495918,4949742913,55741
"ENE0026",1,"ENE","melliodora","melliodora","melliodorae","mel","Adnataria","Eucalyptus melliodora",NA,"Waterfall Way 2","WWY",NA,"2017-11-24","107",-30.51734,151.97252,NA,"NSW","CBH 72","No",NA,NA,NA,NA,"Y","Y",106207474,13950283654,5591645362,75136
"ENE0028",1,"ENE","melliodora","melliodora","melliodorae","mel","Adnataria","Eucalyptus melliodora",NA,"Waterfall Way 2","WWY",NA,"2017-11-24","109",-30.5173,151.97264,NA,"NSW","CBH 68","No",NA,NA,NA,NA,"Y","Y",93510093,12297396286,4926159716,50392
"ENE0030",1,"ENE","sp. aff. magnificata","sp. aff. magnificata","heterophloiae","oxl","Adnataria","Eucalyptus sp. aff. magnificata","?, 90% sure it's oxley","Waterfall Way 2","WWY",NA,"2017-11-24","111",-30.51709,151.97293,NA,"NSW","CBH 18; sterile","No",NA,NA,NA,NA,"Y","Y",111108658,14569442448,5850878947,65504
