"sample.id","site.id","other.ids","total.num.samples","tag.num","species","species.notes","date","notes","latitude","longitude","datum","state","location","altitude","geology","soil","aspect","collector","abundance","buds","flowers","fruit","photos","associated.species","sp.short","ser.short","series"
"FDK01","FDK01","MEL2375684A",1,NA,"microcarpa","Eucalyptus microcarpa","2013-10-31","Voucher with Rebecca Jordan",-36.32987,145.70606,"","VIC","Dookie (private property)",NA,"","","","W.A.Gebert","","","","","",";;;;;;;;","mic","bux","buxeales"
"FDK10","FDK10","MEL2375685A",1,NA,"microcarpa","Eucalyptus microcarpa","2013-10-31","Voucher with Rebecca Jordan",-36.33119,145.70688,"","VIC","Dookie (private property)",NA,"","","","W.A.Gebert","","","","","",";;;;;;;;","mic","bux","buxeales"
"FDK20","FDK20","MEL2375686A",1,NA,"microcarpa","Eucalyptus microcarpa","2013-10-31","Voucher with Rebecca Jordan",-36.33002,145.70534,"","VIC","Dookie (private property)",NA,"","","","W.A.Gebert","","","","","",";;;;;;;;","mic","bux","buxeales"
"FHH02","FHH02","",1,NA,"microcarpa","Eucalyptus microcarpa","2013-12-04","Voucher with Rebecca Jordan",-36.80271,144.00268,"","VIC","Marong (private property)",NA,"","","","R.Jordan","","","","","",";;;;;;;;","mic","bux","buxeales"
"J293","J293","",1,1,"albens","Eucalyptus albens","2015-09-29","",-30.8942,150.66708,"WGS84","NSW","Keepit, Old Menedebri Rd",564,"Basalt","loam","N","J.Janes","Common","Present","","Present","J293","Themeda sp;Trifolium sp;Opuntia stricta;Dianella sp;Amyema miquelii;Asphodelus fistulosus;;;","alb","bux","buxeales"
"J294","J294","",1,2,"albens","Eucalyptus albens","2015-09-29","repeat of 293 (should have been collected as 293A)",-30.8942,150.66708,"WGS84","NSW","Keepit, Old Menedebri Rd",564,"Basalt","loam","N","J.Janes","Common","Present","","Present","","Themeda sp;Trifolium sp;Opuntia stricta;Dianella sp;Amyema miquelii;Asphodelus fistulosus;;;","alb","bux","buxeales"
"J295","J295","",1,NA,"albens","Eucalyptus albens","2015-09-29","",-30.89198,150.6728,"WGS84","NSW","Keepit, Somerton Main Rd",442,"Basalt","sandy-loam","NW","J.Janes","Common","Present","Present","","J295","Themeda sp;Trifolium sp;Opuntia stricta;Dianella sp;;;;;","alb","bux","buxeales"
"J296","J296","",1,3,"melliodora","Eucalyptus melliodora","2015-09-29","",-30.65167,150.87812,"WGS84","NSW","Namoi River, Dunmore Rd",408,"Granite","sandy-loam","SW","J.Janes","Common","Present","Present","Present","J296","Angophora floribunda;grasses;;;;;;;","mel","mellio","melliodorae"
"J297","J297","",1,NA,"melliodora","Eucalyptus melliodora","2015-09-29","repeat of 297 (should have been collected as J296A)",-30.6519,150.87828,"WGS84","NSW","Namoi River, Dunmore Rd",408,"Granite","sandy-loam","SW","J.Janes","Common","Present","Present","","","Angophora floribunda;grasses;;;;;;;","mel","mellio","melliodorae"
"J298","J298","",1,NA,"sideroxylon","Eucalyptus sideroxylon","2015-09-29","",-30.15277,151.07437,"WGS84","NSW","Bundarra, Thunderbolts Way",672,"Granite","Sand ","","J.Janes","Rare","Present","Present","","J298","Grasses;;;;;;;;","sider","mellio","melliodorae"
"J300","J300","",1,NA,"sideroxylon","Eucalyptus sideroxylon","2015-09-30","",-29.80812,150.91918,"WGS84","NSW","Gum Flat, Copeton Dam Rd",653,"Sandstone","Sand","SW","J.Janes","Common","","Present","Present","J300","Austrodanthonia sp;Aotus ericoides;Acacia hakeoides;Exocarpus cupressiformis;;;;;","sider","mellio","melliodorae"
"J301","J301","",1,NA,"sideroxylon","Eucalyptus sideroxylon","2015-09-30","repeat of J300 (should have been collected as J300A)",-29.80812,150.91918,"WGS84","NSW","Gum Flat, Copeton Dam Rd",653,"Sandstone","Sand","SW","J.Janes","Common","","Present","Present","","Austrodanthonia sp;Aotus ericoides;Acacia hakeoides;Exocarpus cupressiformis;;;;;","sider","mellio","melliodorae"
"J302","J302","",1,4,"albens","Eucalyptus albens","2015-09-30","",-30.14391,150.05293,"WGS84","NSW","Sawn Rocks, Kilarney Gap Rd",482,"Basalt","Sand","SE","J.Janes","Common","Present","Present","","J302","Clematis microphylla;Acacia sp;Swainsonia sp;;;;;;","alb","bux","buxeales"
"J303","J303","",1,NA,"albens","Eucalyptus albens","2015-09-30","repeat of J302 (should have been collected as J302A)",-30.14391,150.05293,"WGS84","NSW","Sawn Rocks, Kilarney Gap Rd",482,"Basalt","Sand","SE","J.Janes","Common","Present","Present","","J303","Clematis microphylla;Acacia sp;Swainsonia sp;;;;;;","alb","bux","buxeales"
"J304","J304","",1,NA,"albens","Eucalyptus albens","2015-09-30","repeat of J302 (should have been collected as J302B)",-30.14391,150.05293,"WGS84","NSW","Sawn Rocks, Kilarney Gap Rd",482,"Basalt","Sand","SE","J.Janes","Common","Present","Present","","","Clematis microphylla;Acacia sp;Swainsonia sp;;;;;;","alb","bux","buxeales"
"J305","J305","",1,NA,"pilligaensis","Eucalyptus pilligaensis","2015-09-30","",-30.13395,149.48317,"WGS84","NSW","Narrabri, Newell Hwy",240,"Basalt","Sand","","J.Janes","Rare","Present","","","","Roadside;;;;;;;;","pill","bux","buxeales"
"J307","J307","",1,NA,"crebra","Eucalyptus crebra ?","2015-09-30","",-30.22665,149.8094,"WGS84","NSW","Narrabri, Newell Hwy",240,"Basalt","Sand","","J.Janes","Rare","Present","","","","Roadside;;;;;;;;","creb","sider","siderophloiae"
"J308","J308","",1,NA,"populnea","Eucalyptus populnea","2015-09-30","",-30.22025,149.83597,"WGS84","NSW","Narrabri, Killarney Forest",258,"Basalt","Sand","W","J.Janes","Common","Present","","","",";;;;;;;;","pop","bux","buxeales"
"J310","J310","",1,NA,"populnea","Eucalyptus populnea","2015-09-30","repeat of J308 (should have been collected as J308A)",-30.22025,149.83597,"WGS84","NSW","Narrabri, Killarney Forest",258,"Basalt","Sand","W","J.Janes","Common","Present","","","J310",";;;;;;;;","pop","bux","buxeales"
"J311","J311","",1,5,"fibrosa","Eucalyptus fibrosa ?","2015-09-30","",-30.60224,149.58173,"WGS84","NSW","Pilliga, Newell Hwy",303,"Basalt","Sand","","J.Janes","Common","Present","","Present","J311","Zieria aspalathoides;Boronia sp;Acacia sp;Spyridium sp;;;;;","fib","sider","siderophloiae"
"J312","J312","",1,NA,"sideroxylon","Eucalyptus sideroxylon","2015-09-30","",-30.60224,149.58173,"WGS84","NSW","Pilliga, Newell Hwy",303,"Basalt","Sand","","J.Janes","Common","Present","","Present","J312","Zieria aspalathoides;Boronia sp;Acacia sp;Spyridium sp;;;;;","sider","mellio","melliodorae"
"J313","J313","",1,NA,"fibrosa","Eucalyptus fibrosa","2015-09-30","Apparently missing from herbarium",-30.60224,149.58173,"WGS84","NSW","Pilliga, Newell Hwy",303,"Basalt","Sand","","J.Janes","Common","Present","","Present","J313","Zieria aspalathoides;Boronia sp;Acacia sp;Spyridium sp;;;;;","fib","sider","siderophloiae"
"J314","J314","",1,NA,"fibrosa","Eucalyptus fibrosa","2015-09-30","",-30.92855,149.36347,"WGS84","NSW","Pilliga, no 1 break rd",433,"Basalt","Sand","","J.Janes","Common","Present","","","J314","Zieria aspalathoides;Boronia sp;Acacia sp;Spyridium sp;;;;;","fib","sider","siderophloiae"
"J315","J315","",1,NA,"fibrosa","Eucalyptus fibrosa","2015-09-30","repeat of J314 (should have been collected as J314A)",-30.92855,149.36347,"WGS84","NSW","Pilliga, no 1 break rd",433,"Basalt","Sand","","J.Janes","Common","Present","","","J315","Zieria aspalathoides;Boronia sp;Acacia sp;Spyridium sp;;;;;","fib","sider","siderophloiae"
"J316","J316","",1,NA,"crebra","Eucalyptus crebra","2015-09-30","",-30.92855,149.36347,"WGS84","NSW","Pilliga, no 1 break rd",433,"Basalt","Sand","","J.Janes","rare","Present","","","J316","Zieria aspalathoides;Boronia sp;Acacia sp;Spyridium sp;;;;;","creb","sider","siderophloiae"
"J317","J317","",1,NA,"crebra","Eucalyptus crebra","2015-09-30","",-30.14459,150.0534,"WGS84","NSW","Sawn Rocks, parking lot",485,"Basalt","Sand","W","J.Janes","Rare","","","Present","",";;;;;;;;","creb","sider","siderophloiae"
"J318a","J318","",6,6,"melliodora","Eucalyptus melliodora","2015-10-11","",-31.37365,151.13779,"WGS84","NSW","Chaffey Dam, Tamworth Nundle Rd",532,"","loam","W","J.Janes","Common","Present","Present","","J318","Eucalyptus camaldulensis;Geranium sp;Whalenbergia stricta;Acaena sp;Plantago sp;Asperula sp;;;","mel","mellio","melliodorae"
"J318b","J318","",6,6,"melliodora","Eucalyptus melliodora","2015-10-11","",-31.37365,151.13779,"WGS84","NSW","Chaffey Dam, Tamworth Nundle Rd",532,"","loam","W","J.Janes","Common","Present","Present","","J318","Eucalyptus camaldulensis;Geranium sp;Whalenbergia stricta;Acaena sp;Plantago sp;Asperula sp;;;","mel","mellio","melliodorae"
"J318c","J318","",6,6,"melliodora","Eucalyptus melliodora","2015-10-11","",-31.37365,151.13779,"WGS84","NSW","Chaffey Dam, Tamworth Nundle Rd",532,"","loam","W","J.Janes","Common","Present","Present","","J318","Eucalyptus camaldulensis;Geranium sp;Whalenbergia stricta;Acaena sp;Plantago sp;Asperula sp;;;","mel","mellio","melliodorae"
"J318d","J318","",6,6,"melliodora","Eucalyptus melliodora","2015-10-11","",-31.37365,151.13779,"WGS84","NSW","Chaffey Dam, Tamworth Nundle Rd",532,"","loam","W","J.Janes","Common","Present","Present","","J318","Eucalyptus camaldulensis;Geranium sp;Whalenbergia stricta;Acaena sp;Plantago sp;Asperula sp;;;","mel","mellio","melliodorae"
"J319a","J319","",6,7,"melliodora","Eucalyptus melliodora","2015-10-11","",-31.55948,151.05664,"WGS84","NSW","Nundle, Crawney Rd",751,"","sand","NNE","J.Janes","Common","Present","Present","Present","J319","Eucalyptus camaldulensis;grasses;;;;;;;","mel","mellio","melliodorae"
