"library","run","run.lib","sample","seq.notes","Sequenced","Project1","Project2","Oxley"
"FDK10","plate1-6.0","plate1-6.0~FDK10","FDK10",,,,,"Y"
"GH1","plate1-6.0","plate1-6.0~GH1","GH1",,,,,
"GH2","plate1-6.0","plate1-6.0~GH2","GH2",,,,,
"J293","plate1-6.0","plate1-6.0~J293","J293",,"Y",,,
"J294","plate1-6.0","plate1-6.0~J294","J294",,,,,"Y"
"J295","plate1-6.0","plate1-6.0~J295","J295",,"Y",,,
"J295-rep","plate1-6.0","plate1-6.0~J295-rep","J295",,"Y",,,
"J296","plate1-6.0","plate1-6.0~J296","J296",,,,,"Y"
"J298","plate1-6.0","plate1-6.0~J298","J298",,,,,"Y"
"J300","plate1-6.0","plate1-6.0~J300","J300",,"Y",,,
"J301","plate1-6.0","plate1-6.0~J301","J301",,,,,"Y"
"J302","plate1-6.0","plate1-6.0~J302","J302",,"Y",,,
"J303","plate1-6.0","plate1-6.0~J303","J303",,"Y",,,
"J304","plate1-6.0","plate1-6.0~J304","J304",,"Y",,,
"J307","plate1-6.0","plate1-6.0~J307","J307",,,,,
"J310","plate1-6.0","plate1-6.0~J310","J310",,,,,"Y"
"J311","plate1-6.0","plate1-6.0~J311","J311",,,,,"Y"
"J312","plate1-6.0","plate1-6.0~J312","J312",,"Y",,,
"J315","plate1-6.0","plate1-6.0~J315","J315",,,,,"Y"
"J316","plate1-6.0","plate1-6.0~J316","J316",,,,,"Y"
"J317","plate1-6.0","plate1-6.0~J317","J317",,,,,"Y"
"J318","plate1-6.0","plate1-6.0~J318","J318",,,,,"Y"
"J319","plate1-6.0","plate1-6.0~J319","J319",,,,,"Y"
"J320","plate1-6.0","plate1-6.0~J320","J320",,,,,"Y"
"J321g","plate1-6.0","plate1-6.0~J321g","J321g",,,,,"Y"
"J322","plate1-6.0","plate1-6.0~J322","J322",,,,,"Y"
"J324","plate1-6.0","plate1-6.0~J324","J324",,,,,"Y"
"J326","plate1-6.0","plate1-6.0~J326","J326",,,,,"Y"
"J327","plate1-6.0","plate1-6.0~J327","J327",,,,,"Y"
"J328","plate1-6.0","plate1-6.0~J328","J328",,,,,"Y"
"J329","plate1-6.0","plate1-6.0~J329","J329",,,,,"Y"
"J330","plate1-6.0","plate1-6.0~J330","J330",,,,,"Y"
"J331","plate1-6.0","plate1-6.0~J331","J331",,,,,"Y"
"J333","plate1-6.0","plate1-6.0~J333","J333",,,,,"Y"
"J333_plus","plate1-6.0","plate1-6.0~J333_plus","J333",,,,,"Y"
"J333a","plate1-6.0","plate1-6.0~J333a","J333a",,,,,"Y"
"J334","plate1-6.0","plate1-6.0~J334","J334",,,,,"Y"
"J335","plate1-6.0","plate1-6.0~J335","J335",,,,,"Y"
"J338","plate1-6.0","plate1-6.0~J338","J338",,,,,"Y"
"J339","plate1-6.0","plate1-6.0~J339","J339",,,,,"Y"
"J340","plate1-6.0","plate1-6.0~J340","J340",,,,,"Y"
"J341","plate1-6.0","plate1-6.0~J341","J341",,"Y",,,"Y"
"J341a","plate1-6.0","plate1-6.0~J341a","J341a",,"Y",,,
"J341b","plate1-6.0","plate1-6.0~J341b","J341b",,"Y",,,
"J341c","plate1-6.0","plate1-6.0~J341c","J341c",,"Y",,,
"J341d","plate1-6.0","plate1-6.0~J341d","J341d",,"Y",,,
"J342","plate1-6.0","plate1-6.0~J342","J342",,"Y",,,"Y"
"J342a","plate1-6.0","plate1-6.0~J342a","J342a",,"Y",,,
"J342a-rep","plate1-6.0","plate1-6.0~J342a-rep","J342a",,"Y",,,
"J342b","plate1-6.0","plate1-6.0~J342b","J342b",,"Y",,,
"J342c","plate1-6.0","plate1-6.0~J342c","J342c",,"Y",,,
