"libname","sample"
"J395A","J395a"
"J395B","J395b"
"J395C","J395c"
"J395D","J395d"
"J395E","J395e"
"J395H","J395h"
"VWG14","VWG14"
"VWG14-WGS","VWG14"
"VMG14","VWG14"
"VWG14-NextRAD","VWG14"
"VMA18","VMA18"
"VMA18-WGS","VMA18"
"VMA18-NextRAD","VMA18"
"TLC775","TLC775"
"TLC775-WGS","TLC775"
"TLC775-NextRAD","TLC775"
"TLC726","TLC726"
"TLC726-WGS","TLC726"
"TLC726-NextRAD","TLC726"
"TLC725","TLC725"
"TLC725-WGS","TLC725"
"TLC725-NextRAD","TLC725"
"TLC720","TLC720"
"TLC720-WGS","TLC720"
"TLC720-NextRAD","TLC720"
"TLC715","TLC715"
"TLC715-WGS","TLC715"
"TLC715-NextRAD","TLC715"
"SRR400875","SRR400875"
"SRR191872","SRR191872"
"SRR1448467","SRR1448467"
"SRR1392700","SRR1392700"
"SRR1392411","SRR1392411"
"SRR1392399","SRR1392399"
"SRR1392391","SRR1392391"
"SRR1386222","SRR1386222"
"SRR1386221","SRR1386221"
"SRR1386220","SRR1386220"
"SRR1386219","SRR1386219"
"SRR1386218","SRR1386218"
"RA1007","RA1007"
"RA1006","RA1006"
"RA1006-WGS","RA1006"
"RA1006-NextRAD","RA1006"
"NE90535","NE90535"
"NE67754","NE67754"
"NE4583","NE4583"
"NE37647","NE37647"
"NE37169","NE37169"
"NE36811","NE36811"
"NE35959","NE35959"
"NE35955","NE35955"
"NE25953","NE25953"
"NE25923","NE25923"
"NE10467","NE10467"
"NDU10","NDU10"
"NDU10-WGS","NDU10"
"NDU10-NextRAD","NDU10"
"NCR13","NCR13"
"NCR13-WGS","NCR13"
"NCR13-NextRAD","NCR13"
"NCD30","NCD30"
"NCD30-WGS","NCD30"
"NCD30-NextRAD","NCD30"
"NBJ30","NBJ30"
"NBJ30-WGS","NBJ30"
"NBJ30-NextRAD","NBJ30"
"NAL05","NAL05"
"NAL05-WGS","NAL05"
"NAL05-NextRAD","NAL05"
"M1c","MelMosaic"
"M2a","MelMosaic"
"M2b","MelMosaic"
"J438","J438"
"J437","J437"
"J436i","J436i"
"J436h","J436h"
"J436g","J436g"
"J436f","J436f"
"J436e","J436e"
"J436d","J436d"
"J436c","J436c"
"J436crep","J436c"
"J436c-rep","J436c"
"J436b","J436b"
"J436a","J436a"
"J436","J436"
"J435i","J435i"
"J435h","J435h"
"J435g","J435g"
"J435f","J435f"
"J435e","J435e"
"J435d","J435d"
"J435c","J435c"
"J435b","J435b"
"J435a","J435a"
"J435","J435"
"J434b","J434b"
"J434a","J434a"
"J434","J434"
"J433h","J433h"
"J433g","J433g"
"J433f","J433f"
"J433e","J433e"
"J433d","J433d"
"J433c","J433c"
"J433b","J433b"
"J433a","J433a"
"J433","J433"
