"library","run","Include","seq.notes"
"EB510","oxley.1","Y",
"EB515","oxley.1","Y",
"EB519","oxley.1","Y",
"EB521","oxley.1","Y",
"EB522","oxley.1","Y",
"EB523","oxley.1","Y",
"EB524","oxley.1","Y",
"EB525","oxley.1","Y",
"EB526","oxley.1","Y",
"EB527","oxley.1","Y",
"EB528","oxley.1","Y",
"EB529","oxley.1","Y",
"EB530","oxley.1","Y",
"EB531","oxley.1","Y",
"EB534","oxley.1","Y",
"EB535","oxley.1","Y",
"EB536","oxley.1","Y",
"ENE0001","oxley.1","Y",
"ENE0005","oxley.1","Y",
"ENE0008","oxley.1","Y",
"ENE0009","oxley.1","Y",
"ENE0010","oxley.1","Y",
"ENE0011","oxley.1","Y",
"ENE0014","oxley.1","Y",
"ENE0015","oxley.1","Y",
"ENE0023","oxley.1","Y",
"ENE0024","oxley.1","Y",
"ENE0026","oxley.1","Y",
"ENE0028","oxley.1","Y",
"ENE0030","oxley.1","Y",
"ENE0031","oxley.1","Y",
"ENE0032","oxley.1","Y",
"ENE0033","oxley.1","Y",
"ENE0034","oxley.1","Y",
"ENE0036","oxley.1","Y",
"ENE0038","oxley.1","Y",
"ENE0040","oxley.1","Y",
"ENE0042","oxley.1","Y",
"ENE0044","oxley.1","Y",
"FDK10","plate1-6.0","Y",
"FDK10","plate1-6.1","Y",
"FDK10","plate1-6.2","Y",
"FDK10-NextRAD","plate1.1","Y",
"FDK10-WGS","plate1.1","Y",
"FDK10-WGS","plate1.2","Y",
"GH1","plate1-6.0","Y",
"GH1","plate1-6.1","Y",
"GH1","plate1-6.2","Y",
"GH2","plate1-6.0","Y",
"GH2","plate1-6.1","Y",
"GH2","plate1-6.2","Y",
"J293","plate1-6.0","Y",
"J293","plate1-6.1","Y",
"J293","plate1-6.2","Y",
"J294","plate1-6.0","Y",
"J294","plate1-6.1","Y",
"J294","plate1-6.2","Y",
"J294-NextRAD","plate1.1","Y",
"J294-WGS","plate1.1","Y",
"J294-WGS","plate1.2","Y",
"J295","plate1-6.0","Y",
"J295","plate1-6.1","Y",
"J295","plate1-6.2","Y",
"J295-rep","plate1-6.0","Y",
"J295-rep","plate1-6.1","Y",
"J295rep","plate1-6.2","Y",
"J296","plate1-6.0","Y",
"J296","plate1-6.1","Y",
"J296","plate1-6.2","Y",
"J296-NextRAD","plate1.1","Y",
"J296-WGS","plate1.1","Y",
"J296-WGS","plate1.2","Y",
"J298","plate1-6.0","Y",
"J298","plate1-6.1","Y",
"J298","plate1-6.2","Y",
"J298-NextRAD","plate1.1","Y",
"J298-WGS","plate1.1","Y",
"J298-WGS","plate1.2","Y",
"J300","plate1-6.0","Y",
"J300","plate1-6.1","Y",
"J300","plate1-6.2","Y",
"J301","plate1-6.0","Y",
"J301","plate1-6.1","Y",
"J301","plate1-6.2","Y",
"J301-NextRAD","plate1.1","Y",
"J301-WGS","plate1.1","Y",
"J301-WGS","plate1.2","Y",
"J302","plate1-6.0","Y",
"J302","plate1-6.1","Y",
