filename	reads	bases	gc_bases	non_acgt_bases
data/reads/runs/plate1.1/J324-NextRAD.fastq.gz	307887	37648441	15487218	216
data/reads/runs/plate1-6.0/J381.fastq.gz	161059	10841350	4302123	7
data/reads/runs/plate1.2/J310-WGS.fastq.gz	6889745	834986923	328021182	2934
data/reads/runs/plate1-6.0/J372.fastq.gz	209129	14057623	5552980	7
data/reads/runs/plate1-6.0/VMA18.fastq.gz	153255	10283988	4102113	4
data/reads/runs/plate1-6.2/J374c.fastq.gz	10503490	1460477796	592592332	4946
data/reads/runs/plate1-6.2/J435.fastq.gz	11247275	1546751885	624240402	7285
data/reads/runs/plate1-6.1/J433g.fastq.gz	12075973	1650611125	678964828	3313
data/reads/runs/plate1.1/J354-WGS.fastq.gz	11875425	1511540948	591813307	7598
data/reads/runs/plate1-6.2/J376d.fastq.gz	12187082	1668004376	684319166	7510
data/reads/runs/plate1-6.1/J406d.fastq.gz	12733016	1731164288	702344586	3733
data/reads/runs/plate1-6.1/J371.fastq.gz	14049368	1953195488	777409532	2959
data/reads/runs/plate1-6.0/J355c.fastq.gz	48	2864	1163	0
data/reads/runs/plate1-6.1/J361f.fastq.gz	13339773	1836159206	753492110	2835
data/reads/runs/plate1-6.1/J324.fastq.gz	13083336	1825559301	724142477	4524
data/reads/runs/plate1-6.1/J362b.fastq.gz	14475943	1988253796	816539829	3519
data/reads/runs/plate1-6.0/J387.fastq.gz	985377	66165761	26361986	34
data/reads/runs/plate1-6.1/J376h.fastq.gz	14573415	2004252007	820747053	5451
data/reads/runs/plate1-6.2/J350h.fastq.gz	15828931	2191495359	889141326	8551
data/reads/runs/plate1-6.2/J403.fastq.gz	4400747	618418489	250380056	2550
data/reads/runs/plate1-6.1/J362_young.fastq.gz	13814435	1914726383	766900355	4560
data/reads/runs/plate1-6.2/J429c.fastq.gz	8786330	1216472295	486784790	5075
data/reads/runs/plate1.1/J315-NextRAD.fastq.gz	314287	38084515	15752494	238
data/reads/runs/plate1.1/J381-WGS.fastq.gz	7471450	938130548	364361933	4985
data/reads/runs/plate1-6.0/J418g.fastq.gz	477738	31384346	12570793	24
data/reads/runs/plate1-6.2/J333_plus.fastq.gz	22245615	3102656843	1248544828	11580
data/reads/runs/plate1-6.1/J349.fastq.gz	12492045	1738253468	685866088	1885
data/reads/runs/plate1.2/J303-WGS.fastq.gz	12849428	1637254055	638132134	6141
data/reads/runs/plate1-6.0/J428.fastq.gz	365010	24669880	9796834	17
data/reads/runs/plate1.2/J311-WGS.fastq.gz	12296264	1579439833	614837089	6164
data/reads/runs/plate1-6.1/J426c.fastq.gz	11794376	1577167707	638399811	3367
data/reads/runs/plate1-6.0/J401d.fastq.gz	840588	56119709	22404124	28
data/reads/runs/plate1.2/J331-WGS.fastq.gz	10183169	1298739009	505165230	4940
data/reads/runs/plate1-6.2/J350c.fastq.gz	13323284	1844942776	742831245	6959
data/reads/runs/plate1-6.0/NE35959.fastq.gz	2606	169140	71800	0
data/reads/runs/plate1-6.1/J422a.fastq.gz	13762915	1854147177	759365196	4512
data/reads/runs/plate2/J399.fastq.gz	26473872	3411666790	1345912744	10356
data/reads/runs/plate1-6.0/J348.fastq.gz	205829	13844438	5431042	4
data/reads/runs/plate1-6.1/J367d.fastq.gz	14595652	1999063458	822355281	5154
data/reads/runs/plate1.2/J355-WGS.fastq.gz	7877727	971460041	378387238	3453
data/reads/runs/plate1.1/J348-NextRAD.fastq.gz	1284247	155910162	63826941	806
data/reads/runs/plate1-6.0/J395E.fastq.gz	292631	19460207	7797261	8
data/reads/runs/plate1-6.0/J322.fastq.gz	165231	10797906	4298214	10
data/reads/runs/plate1-6.1/J411.fastq.gz	5976661	833462807	339780058	1859
data/reads/runs/plate1-6.1/J436f.fastq.gz	11703325	1605399837	653049457	3356
data/reads/runs/plate1-6.0/J400.fastq.gz	80070	5058371	2011453	2
data/reads/runs/plate1.2/VMA18-WGS.fastq.gz	3750800	463588704	180769445	1859
data/reads/runs/plate1-6.1/J388d.fastq.gz	5482742	748490201	299053802	1479
data/reads/runs/plate1-6.0/J398.fastq.gz	162347	10851711	4352376	17
data/reads/runs/plate1-6.2/J374d.fastq.gz	11698255	1626715899	656799746	7350
data/reads/runs/plate1-6.0/J406e.fastq.gz	285226	18926316	7602678	11
data/reads/runs/plate1-6.1/J393h.fastq.gz	10188361	1336184120	546626471	2101
data/reads/runs/plate1-6.1/J327.fastq.gz	16605159	2249276609	914557536	5262
data/reads/runs/plate1-6.2/J388h.fastq.gz	11113820	1533898790	617565902	6116
data/reads/runs/plate1-6.0/J376a.fastq.gz	1043587	70268176	28163574	66
data/reads/runs/plate1-6.2/J419a.fastq.gz	14959047	2056582583	843287215	10613
data/reads/runs/plate1-6.2/TLC775.fastq.gz	11672811	1612652755	636025118	7390
data/reads/runs/plate1.2/J361-WGS.fastq.gz	12383157	1592025811	614457140	6026
data/reads/runs/plate1-6.0/J382a.fastq.gz	851331	57072074	23025122	45
data/reads/runs/plate1-6.2/J329.fastq.gz	15880203	2226338103	882780467	7976
data/reads/runs/plate1-6.2/J419e.fastq.gz	8569474	1186045120	476382858	5481
data/reads/runs/plate1-6.2/J437.fastq.gz	13506838	1859281264	763156922	7886
data/reads/runs/plate1.1/RA1006-WGS.fastq.gz	8441859	1053473479	410527763	5558
data/reads/runs/plate1-6.2/J424a.fastq.gz	16253060	2219677937	914568125	9641
data/reads/runs/plate1-6.0/J329.fastq.gz	225455	15089047	5970297	10
data/reads/runs/plate1-6.1/J433d.fastq.gz	14405279	1966572112	811310578	5032
data/reads/runs/plate1-6.2/J425h.fastq.gz	11393397	1570270298	637598579	6144
data/reads/runs/plate1.2/VWG14-WGS.fastq.gz	1881263	225149087	88224981	958
data/reads/runs/plate1-6.2/J428h.fastq.gz	15786109	2129917983	866598828	8790
data/reads/runs/plate1-6.2/J376c.fastq.gz	13424871	1859290413	753380122	8598
data/reads/runs/plate1-6.0/J436a.fastq.gz	251392	16724773	6725341	7
data/reads/runs/plate1.1/J363-plus-WGS.fastq.gz	12688410	1584244638	624813461	8127
data/reads/runs/plate1-6.2/J340.fastq.gz	12961121	1793440532	717800617	8544
data/reads/runs/plate1-6.1/J382g.fastq.gz	13976691	1928677282	793836440	3005
data/reads/runs/plate1-6.1/J333_plus.fastq.gz	21006132	2913085539	1175872941	5562
data/reads/runs/plate1-6.0/J393d.fastq.gz	262939	17636787	6974803	9
