"species","species.short","series.short","series","section","species.label"
"albens","alb","bux","buxeales","Adnataria","al"
"albensXmicrocarpa","ami","bux","buxeales","Adnataria","al"
"banksii","ban","glob","globulares","Maidenaria","bn"
"baueriana","bau","hetero","heterophloiae","Adnataria","ba"
"caleyi","cal","rhodox","rhodoxylon","Adnataria","ca"
"conica","con","hetero","heterophloiae","Adnataria","co"
"crebra","cre","sider","siderophloiae","Adnataria","cr"
"fibrosa","fib","sider","siderophloiae","Adnataria","fi"
"largiflorens","lrg","bux","buxeales","Adnataria","la"
"leucoxylon","leu","mellio","melliodorae","Adnataria","le"
"melliodora","mel","mellio","melliodorae","Adnataria","ml"
"microcarpa","mic","bux","buxeales","Adnataria","mi"
"moluccana","mol","bux","buxeales","Adnataria","mo"
"odorata","odo","bux","buxeales","Adnataria","od"
"pilligaensis","pil","bux","buxeales","Adnataria","pi"
"polyanthemos","pol","hetero","heterophloiae","Adnataria","pl"
"populnea","pop","bux","buxeales","Adnataria","pp"
"porosa","por","bux","buxeales","Adnataria","pr"
"sideroxylon","sid","mellio","melliodorae","Adnataria","si"
"sideroxylonXmelliodora","sml","mellio","melliodorae","Adnataria","si"
"sideroxylonXmicrocarpa","smc","mellio","melliodorae","Adnataria","si"
"sideroxylonXmoluccana","smo","mellio","melliodorae","Adnataria","si"
"tricarpa","tri","mellio","melliodorae","Adnataria","tr"
"woollsiana","woo","bux","buxeales","Adnataria","wo"
"magnificata","mag","hetero","heterophloiae","Adnataria","mg"
"sp. aff. magnificata","oxl","hetero","heterophloiae","Adnataria","ox"
"grandis","gra","trans","transversae","Incognitae","gr"
"globulus","glb","glob","globulares","Maidenaria","gl"
"dalveen","dal","hetero","heterophloiae","Adnataria","dl"
