filename	reads	bases	perc_gc	non_acgt
data/reads/qc/Blank_21.fastq.gz	72876	10384045	40.4	253
data/reads/qc/Blank_12.fastq.gz	418660	60613404	40.3	1101
data/reads/qc/Blank_11.fastq.gz	453858	65942150	40.5	462
data/reads/qc/FDK10.fastq.gz	4297826	627148816	39.1	3964
data/reads/qc/J300.fastq.gz	7622562	1106804571	41.9	7547
data/reads/qc/J307.fastq.gz	9071874	1329444621	39.6	8375
data/reads/qc/J296.fastq.gz	10525586	1555760314	39.4	10009
data/reads/qc/GH2.fastq.gz	9719706	1441028289	41.3	6571
data/reads/qc/J302.fastq.gz	12664332	1858257988	40.5	11591
data/reads/qc/GH1.fastq.gz	11650842	1708509679	41.3	10876
data/reads/qc/J295.fastq.gz	13392374	1950274944	40.6	13075
data/reads/qc/J304.fastq.gz	14460816	2121865009	40.5	7483
data/reads/qc/J310.fastq.gz	14754944	2179204842	40.6	13866
data/reads/qc/J293.fastq.gz	16510742	2419557481	40.7	14408
data/reads/qc/J311.fastq.gz	13716208	2027690173	39.4	12166
data/reads/qc/J295-rep.fastq.gz	17771802	2602694439	40.4	16671
data/reads/qc/J315.fastq.gz	8744150	1287976352	39.2	8511
data/reads/qc/J312.fastq.gz	11195856	1653181281	40.5	6105
data/reads/qc/J294.fastq.gz	19843048	2903231045	40.8	19953
data/reads/qc/J317.fastq.gz	10154792	1490515277	39.3	9963
data/reads/qc/J319.fastq.gz	9417060	1389620329	39.8	9383
data/reads/qc/J316.fastq.gz	13608074	2003906500	39.8	12935
data/reads/qc/J320.fastq.gz	11097302	1636234154	39.6	10978
data/reads/qc/J301.fastq.gz	25732254	3780857929	40.0	24478
data/reads/qc/J298.fastq.gz	25840162	3835029523	40.6	20314
data/reads/qc/J328.fastq.gz	9474690	1399016067	39.6	8234
data/reads/qc/J303.fastq.gz	27019850	3981904001	40.1	23259
data/reads/qc/J330.fastq.gz	9540920	1408230652	39.3	4480
data/reads/qc/J321g.fastq.gz	14268796	2115322918	40.3	12596
data/reads/qc/J333a.fastq.gz	5438472	808207597	39.8	3946
data/reads/qc/J324.fastq.gz	13108324	1941828714	39.6	12887
data/reads/qc/J318.fastq.gz	18331864	2714644398	40.0	16912
data/reads/qc/J322.fastq.gz	17138994	2532633056	40.3	16108
data/reads/qc/J329.fastq.gz	12968774	1920117179	39.6	6929
data/reads/qc/J326.fastq.gz	15736868	2334545890	40.2	11077
data/reads/qc/J327.fastq.gz	16638032	2451181810	40.6	14102
data/reads/qc/J331.fastq.gz	14352976	2123992474	40.0	13564
data/reads/qc/J340.fastq.gz	12971890	1918710794	40.2	12743
data/reads/qc/J334.fastq.gz	17431572	2578995500	40.1	11349
data/reads/qc/J333.fastq.gz	17765788	2646229164	40.1	12392
data/reads/qc/J341b.fastq.gz	12535880	1845040291	41.4	11574
data/reads/qc/J341a.fastq.gz	13450720	1976838032	40.8	12137
data/reads/qc/J339.fastq.gz	13556834	2002870142	40.2	8415
data/reads/qc/J333_plus.fastq.gz	21050286	3130329501	40.3	15337
data/reads/qc/J341d.fastq.gz	11865568	1747648695	39.8	12267
data/reads/qc/J341c.fastq.gz	14459044	2123815472	41.3	11798
data/reads/qc/J335.fastq.gz	21572098	3193482644	39.9	14639
data/reads/qc/J338.fastq.gz	18711508	2770103170	39.9	14697
data/reads/qc/J342a-rep.fastq.gz	12893038	1908104686	41.4	10568
data/reads/qc/J342b.fastq.gz	14450934	2132900958	40.4	12352
data/reads/qc/J342a.fastq.gz	18315118	2689190022	41.2	12165
data/reads/qc/J344.fastq.gz	10945708	1619377815	39.7	10863
data/reads/qc/J342c.fastq.gz	12055100	1771628725	41.4	12081
data/reads/qc/J341.fastq.gz	25780698	3790674417	40.5	20106
data/reads/qc/J342d.fastq.gz	13991126	2062782569	41.2	8146
data/reads/qc/J345d.fastq.gz	13132770	1926363344	41.4	12086
data/reads/qc/J345a.fastq.gz	14734048	2167926891	40.6	14969
data/reads/qc/J349.fastq.gz	12516066	1851168088	39.4	6947
data/reads/qc/J345_plus.fastq.gz	17161050	2543457082	40.1	16577
data/reads/qc/J343.fastq.gz	17700094	2624799769	40.2	14676
data/reads/qc/J347.fastq.gz	16685296	2478227821	39.8	10359
data/reads/qc/J342.fastq.gz	30729148	4551890571	40.5	22497
data/reads/qc/J349a.fastq.gz	13767136	2020196580	41.1	11149
data/reads/qc/J348.fastq.gz	16581572	2454710360	39.4	12309
data/reads/qc/J349e.fastq.gz	10330558	1516938817	40.0	5698
data/reads/qc/J349b.fastq.gz	14640940	2151759774	40.3	14349
data/reads/qc/J349d.fastq.gz	12778008	1880224235	40.9	11640
data/reads/qc/J346.fastq.gz	21872810	3247562534	40.0	17509
data/reads/qc/J349g.fastq.gz	13984634	2050125975	40.5	12451
data/reads/qc/J349f.fastq.gz	16061852	2359901455	40.8	15126
data/reads/qc/J350a.fastq.gz	9479222	1387009462	40.3	5520
data/reads/qc/J349h.fastq.gz	14942484	2188413513	41.0	13880
data/reads/qc/J350e.fastq.gz	8604536	1278434223	41.1	4502
data/reads/qc/J349i.fastq.gz	15173600	2218585555	41.4	13221
data/reads/qc/J349j.fastq.gz	14684826	2162970957	40.9	14964
