run	read	path
J425a	R1	rawdata/WAR4048A1_510/J425a_S510_L001_R1_001.fastq.gz
J425a	R2	rawdata/WAR4048A1_510/J425a_S510_L002_R2_001.fastq.gz
J425a	R2	rawdata/WAR4048A1_510/J425a_S510_L001_R2_001.fastq.gz
J425a	R1	rawdata/WAR4048A1_510/J425a_S510_L002_R1_001.fastq.gz
J352i	R2	rawdata/WAR4048A1_236/J352i_S236_L002_R2_001.fastq.gz
J352i	R1	rawdata/WAR4048A1_236/J352i_S236_L002_R1_001.fastq.gz
J352i	R2	rawdata/WAR4048A1_236/J352i_S236_L001_R2_001.fastq.gz
J352i	R1	rawdata/WAR4048A1_236/J352i_S236_L001_R1_001.fastq.gz
J375	R1	rawdata/WAR4048A1_06/J375_S6_L002_R1_001.fastq.gz
J375	R2	rawdata/WAR4048A1_06/J375_S6_L001_R2_001.fastq.gz
J375	R1	rawdata/WAR4048A1_06/J375_S6_L001_R1_001.fastq.gz
J375	R2	rawdata/WAR4048A1_06/J375_S6_L002_R2_001.fastq.gz
J387e	R2	rawdata/WAR4048A1_305/J387e_S305_L001_R2_001.fastq.gz
J387e	R1	rawdata/WAR4048A1_305/J387e_S305_L001_R1_001.fastq.gz
J387e	R1	rawdata/WAR4048A1_305/J387e_S305_L002_R1_001.fastq.gz
J387e	R2	rawdata/WAR4048A1_305/J387e_S305_L002_R2_001.fastq.gz
J418a	R1	rawdata/WAR4048A1_426/J418a_S426_L001_R1_001.fastq.gz
J418a	R1	rawdata/WAR4048A1_426/J418a_S426_L002_R1_001.fastq.gz
J418a	R2	rawdata/WAR4048A1_426/J418a_S426_L001_R2_001.fastq.gz
J418a	R2	rawdata/WAR4048A1_426/J418a_S426_L002_R2_001.fastq.gz
J422c	R1	rawdata/WAR4048A1_395/J422c_S395_L001_R1_001.fastq.gz
J422c	R1	rawdata/WAR4048A1_395/J422c_S395_L002_R1_001.fastq.gz
J422c	R2	rawdata/WAR4048A1_395/J422c_S395_L002_R2_001.fastq.gz
J422c	R2	rawdata/WAR4048A1_395/J422c_S395_L001_R2_001.fastq.gz
J374a	R2	rawdata/WAR4048A1_267/J374a_S267_L001_R2_001.fastq.gz
J374a	R1	rawdata/WAR4048A1_267/J374a_S267_L002_R1_001.fastq.gz
J374a	R2	rawdata/WAR4048A1_267/J374a_S267_L002_R2_001.fastq.gz
J374a	R1	rawdata/WAR4048A1_267/J374a_S267_L001_R1_001.fastq.gz
J393a	R2	rawdata/WAR4048A1_409/J393a_S409_L001_R2_001.fastq.gz
J393a	R1	rawdata/WAR4048A1_409/J393a_S409_L002_R1_001.fastq.gz
J393a	R2	rawdata/WAR4048A1_409/J393a_S409_L002_R2_001.fastq.gz
J393a	R1	rawdata/WAR4048A1_409/J393a_S409_L001_R1_001.fastq.gz
J349	R1	rawdata/WAR4048A1_93/J349_S93_L001_R1_001.fastq.gz
J349	R2	rawdata/WAR4048A1_93/J349_S93_L002_R2_001.fastq.gz
J349	R1	rawdata/WAR4048A1_93/J349_S93_L002_R1_001.fastq.gz
J349	R2	rawdata/WAR4048A1_93/J349_S93_L001_R2_001.fastq.gz
J364	R1	rawdata/WAR4048A1_17/J364_S17_L002_R1_001.fastq.gz
J364	R1	rawdata/WAR4048A1_17/J364_S17_L001_R1_001.fastq.gz
J364	R2	rawdata/WAR4048A1_17/J364_S17_L002_R2_001.fastq.gz
J364	R2	rawdata/WAR4048A1_17/J364_S17_L001_R2_001.fastq.gz
J405h	R2	rawdata/WAR4048A1_363/J405h_S363_L001_R2_001.fastq.gz
J405h	R1	rawdata/WAR4048A1_363/J405h_S363_L002_R1_001.fastq.gz
J405h	R2	rawdata/WAR4048A1_363/J405h_S363_L002_R2_001.fastq.gz
J405h	R1	rawdata/WAR4048A1_363/J405h_S363_L001_R1_001.fastq.gz
J430f	R1	rawdata/WAR4048A1_521/J430f_S521_L002_R1_001.fastq.gz
J430f	R1	rawdata/WAR4048A1_521/J430f_S521_L001_R1_001.fastq.gz
J430f	R2	rawdata/WAR4048A1_521/J430f_S521_L001_R2_001.fastq.gz
J430f	R2	rawdata/WAR4048A1_521/J430f_S521_L002_R2_001.fastq.gz
J322	R2	rawdata/WAR4048A1_12/J322_S12_L002_R2_001.fastq.gz
J322	R2	rawdata/WAR4048A1_12/J322_S12_L001_R2_001.fastq.gz
J322	R1	rawdata/WAR4048A1_12/J322_S12_L002_R1_001.fastq.gz
J322	R1	rawdata/WAR4048A1_12/J322_S12_L001_R1_001.fastq.gz
J421b	R1	rawdata/WAR4048A1_412/J421b_S412_L002_R1_001.fastq.gz
J421b	R2	rawdata/WAR4048A1_412/J421b_S412_L002_R2_001.fastq.gz
J421b	R2	rawdata/WAR4048A1_412/J421b_S412_L001_R2_001.fastq.gz
J421b	R1	rawdata/WAR4048A1_412/J421b_S412_L001_R1_001.fastq.gz
J424	R1	rawdata/WAR4048A1_99/J424_S99_L001_R1_001.fastq.gz
J424	R2	rawdata/WAR4048A1_99/J424_S99_L002_R2_001.fastq.gz
J424	R2	rawdata/WAR4048A1_99/J424_S99_L001_R2_001.fastq.gz
J424	R1	rawdata/WAR4048A1_99/J424_S99_L002_R1_001.fastq.gz
J426g	R2	rawdata/WAR4048A1_499/J426g_S499_L002_R2_001.fastq.gz
J426g	R1	rawdata/WAR4048A1_499/J426g_S499_L002_R1_001.fastq.gz
J426g	R1	rawdata/WAR4048A1_499/J426g_S499_L001_R1_001.fastq.gz
J426g	R2	rawdata/WAR4048A1_499/J426g_S499_L001_R2_001.fastq.gz
J430a	R1	rawdata/WAR4048A1_518/J430a_S518_L001_R1_001.fastq.gz
J430a	R2	rawdata/WAR4048A1_518/J430a_S518_L001_R2_001.fastq.gz
J430a	R1	rawdata/WAR4048A1_518/J430a_S518_L002_R1_001.fastq.gz
J430a	R2	rawdata/WAR4048A1_518/J430a_S518_L002_R2_001.fastq.gz
J320	R1	rawdata/WAR4048A1_82/J320_S82_L002_R1_001.fastq.gz
J320	R2	rawdata/WAR4048A1_82/J320_S82_L001_R2_001.fastq.gz
J320	R2	rawdata/WAR4048A1_82/J320_S82_L002_R2_001.fastq.gz
J320	R1	rawdata/WAR4048A1_82/J320_S82_L001_R1_001.fastq.gz
TLC775	R2	rawdata/WAR4048A1_76/TLC775_S76_L001_R2_001.fastq.gz
TLC775	R1	rawdata/WAR4048A1_76/TLC775_S76_L002_R1_001.fastq.gz
TLC775	R1	rawdata/WAR4048A1_76/TLC775_S76_L001_R1_001.fastq.gz
TLC775	R2	rawdata/WAR4048A1_76/TLC775_S76_L002_R2_001.fastq.gz
J433c	R2	rawdata/WAR4048A1_374/J433c_S374_L001_R2_001.fastq.gz
J433c	R2	rawdata/WAR4048A1_374/J433c_S374_L002_R2_001.fastq.gz
J433c	R1	rawdata/WAR4048A1_374/J433c_S374_L002_R1_001.fastq.gz
J433c	R1	rawdata/WAR4048A1_374/J433c_S374_L001_R1_001.fastq.gz
J406e	R1	rawdata/WAR4048A1_378/J406e_S378_L002_R1_001.fastq.gz
J406e	R2	rawdata/WAR4048A1_378/J406e_S378_L001_R2_001.fastq.gz
J406e	R1	rawdata/WAR4048A1_378/J406e_S378_L001_R1_001.fastq.gz
J406e	R2	rawdata/WAR4048A1_378/J406e_S378_L002_R2_001.fastq.gz
J374h	R1	rawdata/WAR4048A1_258/J374h_S258_L001_R1_001.fastq.gz
J374h	R1	rawdata/WAR4048A1_258/J374h_S258_L002_R1_001.fastq.gz
J374h	R2	rawdata/WAR4048A1_258/J374h_S258_L002_R2_001.fastq.gz
J374h	R2	rawdata/WAR4048A1_258/J374h_S258_L001_R2_001.fastq.gz
J376i	R2	rawdata/WAR4048A1_323/J376i_S323_L002_R2_001.fastq.gz
J376i	R1	rawdata/WAR4048A1_323/J376i_S323_L002_R1_001.fastq.gz
J376i	R2	rawdata/WAR4048A1_323/J376i_S323_L001_R2_001.fastq.gz
J376i	R1	rawdata/WAR4048A1_323/J376i_S323_L001_R1_001.fastq.gz
J349h	R2	rawdata/WAR4048A1_212/J349h_S212_L001_R2_001.fastq.gz
J349h	R1	rawdata/WAR4048A1_212/J349h_S212_L001_R1_001.fastq.gz
J349h	R2	rawdata/WAR4048A1_212/J349h_S212_L002_R2_001.fastq.gz
J349h	R1	rawdata/WAR4048A1_212/J349h_S212_L002_R1_001.fastq.gz
J401a	R2	rawdata/WAR4048A1_278/J401a_S278_L001_R2_001.fastq.gz
J401a	R1	rawdata/WAR4048A1_278/J401a_S278_L001_R1_001.fastq.gz
J401a	R2	rawdata/WAR4048A1_278/J401a_S278_L002_R2_001.fastq.gz
J401a	R1	rawdata/WAR4048A1_278/J401a_S278_L002_R1_001.fastq.gz
J376b	R2	rawdata/WAR4048A1_273/J376b_S273_L001_R2_001.fastq.gz
J376b	R1	rawdata/WAR4048A1_273/J376b_S273_L002_R1_001.fastq.gz
J376b	R1	rawdata/WAR4048A1_273/J376b_S273_L001_R1_001.fastq.gz
J376b	R2	rawdata/WAR4048A1_273/J376b_S273_L002_R2_001.fastq.gz
J426h	R2	rawdata/WAR4048A1_479/J426h_S479_L002_R2_001.fastq.gz
J426h	R1	rawdata/WAR4048A1_479/J426h_S479_L001_R1_001.fastq.gz
J426h	R1	rawdata/WAR4048A1_479/J426h_S479_L002_R1_001.fastq.gz
J426h	R2	rawdata/WAR4048A1_479/J426h_S479_L001_R2_001.fastq.gz
Blank_11	R1	rawdata/WAR4048A1_01/Blank_11_S1_L002_R1_001.fastq.gz
Blank_11	R2	rawdata/WAR4048A1_01/Blank_11_S1_L002_R2_001.fastq.gz
Blank_11	R1	rawdata/WAR4048A1_01/Blank_11_S1_L001_R1_001.fastq.gz
Blank_11	R2	rawdata/WAR4048A1_01/Blank_11_S1_L001_R2_001.fastq.gz
J351_plus	R2	rawdata/WAR4048A1_25/J351_plus_S25_L001_R2_001.fastq.gz
J351_plus	R2	rawdata/WAR4048A1_25/J351_plus_S25_L002_R2_001.fastq.gz
J351_plus	R1	rawdata/WAR4048A1_25/J351_plus_S25_L001_R1_001.fastq.gz
J351_plus	R1	rawdata/WAR4048A1_25/J351_plus_S25_L002_R1_001.fastq.gz
J352	R2	rawdata/WAR4048A1_30/J352_S30_L002_R2_001.fastq.gz
J352	R1	rawdata/WAR4048A1_30/J352_S30_L001_R1_001.fastq.gz
J352	R2	rawdata/WAR4048A1_30/J352_S30_L001_R2_001.fastq.gz
J352	R1	rawdata/WAR4048A1_30/J352_S30_L002_R1_001.fastq.gz
J424g	R1	rawdata/WAR4048A1_500/J424g_S500_L001_R1_001.fastq.gz
