"sample","yield.mb","read.num","coverage"
"Blank_11",68,226929,0.10625
"Blank_12",63,209330,0.0984375
"Blank_21",11,36438,0.0171875
"blank_31",51,170603,0.0796875
"blank_32",27,87293,0.0421875
"blank_41",69,228930,0.1078125
"blank_42",45,147758,0.0703125
"blank_51",16,52330,0.025
"blank_52",27,90482,0.0421875
"blank_61",14,47660,0.021875
"blank_62",17,57326,0.0265625
"FDK10",649,2148913,1.0140625
"GH1",1759,5825421,2.7484375
"GH2",1468,4859853,2.29375
"J293",2493,8255371,3.8953125
"J294_S2",975,3226827,1.5234375
"J294_S225",2022,6694697,3.159375
"J295",2023,6696187,3.1609375
"J295-rep",2683,8885901,4.1921875
"J296",1589,5262793,2.4828125
"J298_S185",1711,5667242,2.6734375
"J298_S26",2190,7252839,3.421875
"J300",1151,3811281,1.7984375
"J301_S148",2486,8231620,3.884375
"J301_S3",1400,4634507,2.1875
"J302",1913,6332166,2.9890625
"J303_S204",1964,6503555,3.06875
"J303_S74",2116,7006370,3.30625
"J304",2183,7230408,3.4109375
"J307",1370,4535937,2.140625
"J310",2228,7377472,3.48125
"J311",2071,6858104,3.2359375
"J312",1690,5597928,2.640625
"J315",1320,4372075,2.0625
"J316",2055,6804037,3.2109375
"J317",1534,5077396,2.396875
"J318",2769,9165932,4.3265625
"J319",1422,4708530,2.221875
"J320",1676,5548651,2.61875
"J321g",2155,7134398,3.3671875
"J322",2588,8569497,4.04375
"J324",1979,6554162,3.0921875
"J326",2377,7868434,3.7140625
"J327",2512,8319016,3.925
"J328",1430,4737345,2.234375
"J329",1959,6484387,3.0609375
"J330",1440,4770460,2.25
"J331",2167,7176488,3.3859375
"J333",2682,8882894,4.190625
"J333_plus",3178,10525143,4.965625
"J333a",822,2719236,1.284375
"J334",2632,8715786,4.1125
"J335",3257,10786049,5.0890625
"J338",2826,9355754,4.415625
"J339",2047,6778417,3.1984375
"J340",1959,6485945,3.0609375
"J341_S166",2297,7604951,3.5890625
"J341_S24",1596,5285398,2.49375
"J341a",2031,6725360,3.1734375
"J341b",1892,6267940,2.95625
"J341c",2183,7229522,3.4109375
"J341d",1791,5932784,2.7984375
"J342_S206",2098,6945793,3.278125
"J342_S47",2543,8418781,3.9734375
"J342a",2765,9157559,4.3203125
"J342a-rep",1947,6446519,3.0421875
"J342b",2182,7225467,3.409375
"J342c",1820,6027550,2.84375
"J342d",2112,6995563,3.3
"J343",2673,8850047,4.1765625
"J344",1653,5472854,2.5828125
"J345_plus",2591,8580525,4.0484375
"J345_S164",2067,6845248,3.2296875
"J345_S73",2947,9757339,4.6046875
"J345a",2225,7367024,3.4765625
"J345d",1983,6566385,3.0984375
"J346",3303,10936405,5.1609375
"J347",2520,8342648,3.9375
"J348",2504,8290786,3.9125
"J349",1890,6258033,2.953125
"J349a",2079,6883568,3.2484375
"J349b",2210,7320470,3.453125
"J349d",1929,6389004,3.0140625
"J349e",1560,5165279,2.4375
"J349f",2426,8030926,3.790625
"J349g",2112,6992317,3.3
"J349h",2256,7471242,3.525
"J349i",2292,7586800,3.58125
"J349j",2217,7342413,3.4640625
"J350_S147",1324,4385379,2.06875
"J350_S63",1801,5964031,2.8140625
"J350a",1432,4739611,2.2375
"J350b",2291,7587042,3.5796875
"J350c",1828,6052646,2.85625
"J350d",2119,7015533,3.3109375
"J350e",1300,4302268,2.03125
"J350f",1707,5652390,2.6671875
"J350g",2094,6936411,3.271875
"J350h",2242,7424385,3.503125
"J350i",2238,7408166,3.496875
"J351",2292,7588778,3.58125
"J351_plus",3035,10051608,4.7421875
"J352_S146",1842,6100328,2.878125
"J352_S30",2666,8827213,4.165625
"J352a",2111,6990435,3.2984375
"J352b",2312,7653958,3.6125
"J352c",1160,3842238,1.8125
"J352d",2172,7192112,3.39375
"J352e",1827,6047718,2.8546875
"J352f",552,1828163,0.8625
"J352g",2467,8168002,3.8546875
"J352h",31,100081,0.0484375
"J352i",2243,7428299,3.5046875
"J353",1309,4335066,2.0453125
"J354",3012,9973949,4.70625
"J355_S198",2045,6771695,3.1953125
