"sample","reads","bases","perc_gc","non_acgt","coverage","unique_kmers","kmersize"
"Blank_21",72876,10384045,40.4,253,0.0162250703125,6548273,31
"Blank_12",418660,60613404,40.3,1101,0.09470844375,36046403,31
"Blank_11",453858,65942150,40.5,462,0.103034609375,41240544,31
"FDK10",4297826,627148816,39.1,3964,0.979920025,270932317,31
"J300",7622562,1106804571,41.9,7547,1.7293821421875,401590018,31
"J307",9071874,1329444621,39.6,8375,2.0772572203125,467823371,31
"J296",10525586,1555760314,39.4,10009,2.430875490625,518289756,31
"GH2",9719706,1441028289,41.3,6571,2.2516067015625,620514809,31
"J302",12664332,1858257988,40.5,11591,2.90352810625,576183875,31
"GH1",11650842,1708509679,41.3,10876,2.6695463734375,563142929,31
"J295",13392374,1950274944,40.6,13075,3.0473046,571134087,31
"J304",14460816,2121865009,40.5,7483,3.3154140765625,617368889,31
"J310",14754944,2179204842,40.6,13866,3.405007565625,667619515,31
"J293",16510742,2419557481,40.7,14408,3.7805585640625,692492552,31
"J311",13716208,2027690173,39.4,12166,3.1682658953125,611560482,31
"J295-rep",17771802,2602694439,40.4,16671,4.0667100609375,724525733,31
"J315",8744150,1287976352,39.2,8511,2.01246305,455169153,31
"J312",11195856,1653181281,40.5,6105,2.5830957515625,557834462,31
"J294",19843048,2903231045,40.8,19953,4.5362985078125,768424868,31
"J317",10154792,1490515277,39.3,9963,2.3289301203125,502758775,31
"J319",9417060,1389620329,39.8,9383,2.1712817640625,481179460,31
"J316",13608074,2003906500,39.8,12935,3.13110390625,607899515,31
"J320",11097302,1636234154,39.6,10978,2.556615865625,531104037,31
"J301",25732254,3780857929,40,24478,5.9075905140625,861369199,31
"J298",25840162,3835029523,40.6,20314,5.9922336296875,1022945210,31
"J328",9474690,1399016067,39.6,8234,2.1859626046875,491598571,31
"J303",27019850,3981904001,40.1,23259,6.2217250015625,893624231,31
"J330",9540920,1408230652,39.3,4480,2.20036039375,481231678,31
"J321g",14268796,2115322918,40.3,12596,3.305192059375,639873253,31
"J333a",5438472,808207597,39.8,3946,1.2628243703125,331508655,31
"J324",13108324,1941828714,39.6,12887,3.034107365625,582252066,31
"J318",18331864,2714644398,40,16912,4.241631871875,703811176,31
"J322",17138994,2532633056,40.3,16108,3.95723915,729377073,31
"J329",12968774,1920117179,39.6,6929,3.0001830921875,577794399,31
"J326",15736868,2334545890,40.2,11077,3.647727953125,763162541,31
"J327",16638032,2451181810,40.6,14102,3.829971578125,734470580,31
"J331",14352976,2123992474,40,13564,3.318738240625,666301291,31
"J340",12971890,1918710794,40.2,12743,2.997985615625,618996476,31
"J334",17431572,2578995500,40.1,11349,4.02968046875,721374723,31
"J333",17765788,2646229164,40.1,12392,4.13473306875,827670448,31
"J341b",12535880,1845040291,41.4,11574,2.8828754546875,564538366,31
"J341a",13450720,1976838032,40.8,12137,3.088809425,639775230,31
"J339",13556834,2002870142,40.2,8415,3.129484596875,598546089,31
"J333_plus",21050286,3130329501,40.3,15337,4.8911398453125,750810490,31
"J341d",11865568,1747648695,39.8,12267,2.7307010859375,561920237,31
"J341c",14459044,2123815472,41.3,11798,3.318461675,695550171,31
"J335",21572098,3193482644,39.9,14639,4.98981663125,782704701,31
"J338",18711508,2770103170,39.9,14697,4.328286203125,725683163,31
"J342a-rep",12893038,1908104686,41.4,10568,2.981413571875,692756699,31
"J342b",14450934,2132900958,40.4,12352,3.332657746875,664660313,31
"J342a",18315118,2689190022,41.2,12165,4.201859409375,710580276,31
"J344",10945708,1619377815,39.7,10863,2.5302778359375,523099563,31
"J342c",12055100,1771628725,41.4,12081,2.7681698828125,582166174,31
"J341",25780698,3790674417,40.5,20106,5.9229287765625,869624017,31
"J342d",13991126,2062782569,41.2,8146,3.2230977640625,610157077,31
"J345d",13132770,1926363344,41.4,12086,3.009942725,600380648,31
"J345a",14734048,2167926891,40.6,14969,3.3873857671875,638619157,31
"J349",12516066,1851168088,39.4,6947,2.8924501375,553152383,31
"J345_plus",17161050,2543457082,40.1,16577,3.974151690625,692668230,31
"J343",17700094,2624799769,40.2,14676,4.1012496390625,746139339,31
"J347",16685296,2478227821,39.8,10359,3.8722309703125,691174445,31
"J342",30729148,4551890571,40.5,22497,7.1123290171875,901304644,31
"J349a",13767136,2020196580,41.1,11149,3.15655715625,668942985,31
"J348",16581572,2454710360,39.4,12309,3.8354849375,675375729,31
"J349e",10330558,1516938817,40,5698,2.3702169015625,529838965,31
"J349b",14640940,2151759774,40.3,14349,3.362124646875,646449320,31
"J349d",12778008,1880224235,40.9,11640,2.9378503671875,620047877,31
"J346",21872810,3247562534,40,17509,5.074316459375,859016913,31
"J349g",13984634,2050125975,40.5,12451,3.2033218359375,643389216,31
"J349f",16061852,2359901455,40.8,15126,3.6873460234375,676010870,31
"J350a",9479222,1387009462,40.3,5520,2.167202284375,472069781,31
"J349h",14942484,2188413513,41,13880,3.4193961140625,691295679,31
"J350e",8604536,1278434223,41.1,4502,1.9975534734375,539964989,31
"J349i",15173600,2218585555,41.4,13221,3.4665399296875,685096978,31
"J349j",14684826,2162970957,40.9,14964,3.3796421203125,642346261,31
"J350f",11304780,1656592111,40.2,11977,2.5884251734375,538434442,31
"J350c",12105292,1786500031,40.2,8844,2.7914062984375,588251028,31
"J345",33205174,4903731215,40.2,28195,7.6620800234375,1091186414,31
"J350d",14031066,2073210062,40.8,8696,3.239390721875,624314851,31
"J352h",200162,29020595,40.5,335,0.0453446796875,17634155,31
"J350b",15174084,2238128102,41,10472,3.497075159375,638482027,31
"J352f",3656326,523747876,41.8,3355,0.81835605625,236379247,31
"J350g",13872822,2030918875,39.9,12197,3.1733107421875,630705496,31
"J352c",7684476,1133448685,40.7,4339,1.7710135703125,403245257,31
"J350i",14816332,2187882797,41.1,9327,3.4185668703125,640825950,31
"J350h",14848770,2190848587,40.6,11202,3.4232009171875,651550127,31
"J355c",341924,49636899,40.6,724,0.0775576546875,30574155,31
"J350",20698820,3041533855,39.4,15932,4.7523966484375,810113925,31
"J351",15177556,2250037534,39.9,12024,3.515683646875,665314744,31
"J352a",13980870,2057272621,40.2,14052,3.2144884703125,612694285,31
"J353",8670132,1275687292,39.6,4992,1.99326139375,455026966,31
"J352e",12095436,1780956461,40.8,10901,2.7827444703125,589594790,31
